case,policy_seed,portfolio,value_ppo,economic_value_ppo,expected_loss_ppo,value_myopic,economic_value_myopic,expected_loss_myopic,lower_initial_value_higher_total
buffer_1.25,101,1,-1195.0935538708875,570.7303373661686,6843.671316619934,-1626.245181760347,562.8968287714076,7059.739065710339,False
buffer_1.25,101,2,-1274.630815148289,-2895.861904775621,3179.153060566044,-1598.963979308679,-2918.5384593970293,3177.662117148189,False
buffer_1.25,101,3,-1995.219641383342,-3284.9931751200534,3046.112099679064,-2285.108132422789,-3307.788058630821,3062.225593303798,False
buffer_1.25,101,4,-1747.0874547669707,577.3293726639938,7369.813436031361,-2144.170964627793,578.722741024743,7281.329838542063,True
buffer_1.25,101,5,-1533.5416929558055,569.8053997227089,10213.657028826296,-1988.6843873931505,565.224379954528,10357.91960287159,False
buffer_1.25,101,6,-1433.2921311675052,618.0250621851285,2399.936584590489,-1733.986789510466,607.8797063674399,2396.8583022245875,False
buffer_1.25,101,7,-631.6604454236441,771.4190266967628,2502.867029195496,-930.5293771040888,761.4919466553063,2599.234947953021,False
buffer_1.25,202,0,-1152.3663391464845,653.5186967260976,2726.3812852822966,-1873.6759149394568,658.7320672675684,3037.5665415457515,True
buffer_1.25,202,1,-1257.0857027900709,566.6034551845307,6804.631131717906,-1626.245181760347,562.8968287714076,7059.739065710339,False
buffer_1.25,202,2,-1251.6852185026285,-2873.1473889401946,3109.298071740244,-1598.963979308679,-2918.5384593970293,3177.662117148189,False
buffer_1.25,202,3,-2054.9890841994047,-3257.132260069283,2924.869683286355,-2285.108132422789,-3307.788058630821,3062.225593303798,False
buffer_1.25,202,4,-1354.5730758415689,574.0699205741614,6823.65450048516,-2144.170964627793,578.722741024743,7281.329838542063,True
buffer_1.25,202,5,-1531.0499459188206,562.7421454209829,9753.070603579745,-1988.6843873931505,565.224379954528,10357.91960287159,True
buffer_1.25,202,6,-1290.995263206393,605.1253997534393,2269.5332114595803,-1733.986789510466,607.8797063674399,2396.8583022245875,True
buffer_1.25,202,7,-649.2209715862465,753.743399079888,2314.904017893153,-930.5293771040888,761.4919466553063,2599.234947953021,True
buffer_1.25,303,0,-888.4748500696629,653.056902077979,2695.364542605914,-1873.6759149394568,658.7320672675684,3037.5665415457515,True
buffer_1.25,303,1,-840.6671095318035,557.3294986371382,6339.171831129763,-1626.245181760347,562.8968287714076,7059.739065710339,True
buffer_1.25,303,2,-907.2327214872912,-2874.147939852008,2930.4906474281643,-1598.963979308679,-2918.5384593970293,3177.662117148189,False
buffer_1.25,303,3,-1553.7999032444202,-3276.0475996053347,2817.674650834905,-2285.108132422789,-3307.788058630821,3062.225593303798,False
buffer_1.25,303,4,-1189.192960716938,574.0699205741614,6823.65450048516,-2144.170964627793,578.722741024743,7281.329838542063,True
buffer_1.25,303,5,-1135.69194945647,559.6897463923618,9476.617548359798,-1988.6843873931505,565.224379954528,10357.91960287159,True
buffer_1.25,303,6,-933.523850503535,603.2429281059522,2228.026277205059,-1733.986789510466,607.8797063674399,2396.8583022245875,True
buffer_1.25,303,7,-490.2214810767096,753.743399079888,2314.904017893153,-930.5293771040888,761.4919466553063,2599.234947953021,True
constant_budget_stress,101,0,-1306.1748110166895,657.626498357303,1859.094416377241,-1818.844072151369,658.7320672675684,1916.6089787968767,True
constant_budget_stress,101,1,-1195.0935538708875,570.7303373661686,2518.710892360006,-1903.3788010958956,562.1733139510045,2583.145680492088,False
constant_budget_stress,101,2,-1274.630815148289,-2895.861904775621,1703.1297438809916,-1516.7667539840097,-2959.125490753533,1770.3604322807062,False
constant_budget_stress,101,3,-1995.219641383342,-3284.9931751200534,1993.079682068471,-2516.1048267296705,-3307.96190561788,2010.087639284838,False
constant_budget_stress,101,4,-1747.0874547669707,577.3293726639938,2287.528171355341,-2801.387645754478,578.6452982852114,2328.386658210813,True
constant_budget_stress,101,5,-1533.5416929558055,569.8053997227089,2356.096427989705,-2326.7993883858226,563.1538421030872,2360.8717870678984,False
constant_budget_stress,101,6,-1433.2921311675052,618.0250621851285,1599.2787712488082,-2024.334813572176,611.771651634135,1731.6316728652575,False
constant_budget_stress,101,7,-631.6604454236441,771.4190266967628,1737.230362090215,-1525.9736255838843,761.4919466553063,1801.877266975494,False
constant_budget_stress,101,8,-315.7316074018946,-1360.6615751768434,1963.5860553077075,-979.4030304261612,-1383.6831751705486,1976.3087091281463,False
constant_budget_stress,101,9,-1049.5545346198337,650.5109958997785,1544.9621078921514,-2269.999797959949,658.4291288038271,1773.690056558446,True
constant_budget_stress,101,10,-1452.3498703465425,771.8242780607383,2558.8889208863147,-1691.1915744788464,755.3846062983724,2623.056905616905,False
constant_budget_stress,101,11,-402.0572698427934,527.8764815464251,1662.874327891322,-964.0245590767624,532.6151274931702,1776.5984103731766,True
constant_budget_stress,101,12,-691.9997466949077,552.1771787251894,1463.7795657768638,-1019.7850702007026,551.2282485009347,1735.868738249374,False
constant_budget_stress,101,13,-540.8346253234414,552.2426323223121,1879.8898231643036,-1013.2180751193814,552.6479382049833,1910.7960067185973,True
constant_budget_stress,101,14,-1359.4445783763647,703.2068803747385,2368.7612245191717,-2020.973094734798,704.5464727768795,2479.031671092396,True
constant_budget_stress,101,15,-884.1133394918976,505.188170446791,1969.5951927640524,-1942.0450078474664,502.5646062292613,1997.6638799253344,False
constant_budget_stress,101,16,-1269.876563463847,398.9064768061981,1414.4675100987947,-2023.9166812821677,399.4058238972588,1645.2163432263492,True
constant_budget_stress,101,17,-1715.4806589239572,632.8983777424053,2653.9059531334547,-1702.9856654704952,613.7418676490578,2673.599989067965,False
constant_budget_stress,101,18,-1419.128463196671,531.4585609800722,1760.339904391174,-1881.0846181164272,522.8626883600732,1783.8642528278765,False
constant_budget_stress,101,19,-1448.219128804223,-2712.2463374032827,2127.6452943874724,-2401.244448315684,-2785.156796133829,2127.464982863988,False
constant_budget_stress,101,20,-1247.7698999924253,444.3354755391984,1163.657201981812,-2115.6645507611,440.2772130145306,1374.1149442333622,False
constant_budget_stress,101,21,-1016.5545358307672,594.1586093207832,1633.6942157638578,-1404.3452494108978,596.116140081609,1760.5758617509114,True
constant_budget_stress,101,22,-958.1326631515452,405.2736377057542,1524.577764760005,-1059.4115985066212,409.7764700331851,1798.8554083595084,True
constant_budget_stress,101,23,-1255.380215498309,527.7417793849796,2257.8190804889023,-1624.192278964036,517.9744382545614,2282.4697748239414,False
constant_budget_stress,202,0,-1245.4922269948722,653.5186967260976,1730.146270086333,-1818.844072151369,658.7320672675684,1916.6089787968767,True
constant_budget_stress,202,1,-1382.5655923733832,566.6034551845307,2483.191213824421,-1903.3788010958956,562.1733139510045,2583.145680492088,False
constant_budget_stress,202,2,-1261.3285692179636,-2872.923083819171,1629.846919905673,-1516.7667539840097,-2959.125490753533,1770.3604322807062,False
constant_budget_stress,202,3,-2090.806582696616,-3256.8870992011257,1903.4894546161484,-2516.1048267296705,-3307.96190561788,2010.087639284838,False
constant_budget_stress,202,4,-1605.880130386978,574.0699205741614,2107.474396892881,-2801.387645754478,578.6452982852114,2328.386658210813,True
constant_budget_stress,202,5,-1574.0694059646912,562.7421454209829,2254.7859219124352,-2326.7993883858226,563.1538421030872,2360.8717870678984,True
constant_budget_stress,202,6,-1338.71114343336,605.1253997534393,1514.244253324115,-2024.334813572176,611.771651634135,1731.6316728652575,True
constant_budget_stress,202,7,-583.4749555522404,753.743399079888,1607.2880659708978,-1525.9736255838843,761.4919466553063,1801.877266975494,True
constant_budget_stress,202,8,-374.3030148047222,-1350.7100470464777,1915.5653034509955,-979.4030304261612,-1383.6831751705486,1976.3087091281463,False
constant_budget_stress,202,9,-1283.357330673855,644.0647628093978,1433.3557306149262,-2269.999797959949,658.4291288038271,1773.690056558446,True
constant_budget_stress,202,10,-1455.6881066505764,751.772146343791,2453.999574070904,-1691.1915744788464,755.3846062983724,2623.056905616905,True
constant_budget_stress,202,11,-349.89998289063834,524.8068114814658,1558.368688065587,-964.0245590767624,532.6151274931702,1776.5984103731766,True
constant_budget_stress,202,12,-381.2853903897816,543.8696268593751,1379.4928810756446,-1019.7850702007026,551.2282485009347,1735.868738249374,True
constant_budget_stress,202,13,-413.9382051797704,550.5153982224026,1814.4349432734607,-1013.2180751193814,552.6479382049833,1910.7960067185973,True
constant_budget_stress,202,14,-983.8727967993004,699.3787984066623,2187.802121141309,-2020.973094734798,704.5464727768795,2479.031671092396,True
constant_budget_stress,202,15,-1058.8687109858051,500.975838263338,1922.7341050095276,-1942.0450078474664,502.5646062292613,1997.6638799253344,True
constant_budget_stress,202,16,-1477.3050938777449,399.0308891924219,1399.632568401919,-2023.9166812821677,399.4058238972588,1645.2163432263492,True
