case,kind,policy,policy_seed,value,revenue,loss,portfolio_loss,reward,default_rate,delinquent_rate,mean_ead,mean_el,budget_utilization,el_violation_rate,any_violation_rate,violation_magnitude,worst_violation,inherited_violation_rate,top_decile_el_share,high_risk_share,increase_rate,decrease_rate,rejection_rate,hard_nonworsening,value_per_ead,decisions,portfolio_months,seconds,solver_exact_fraction,distinct_increase_share,reversals_per_customer,limit_growth,stress_loss,ead_before_stress,true_violation_rate,predicted_safe_true_violated_rate,predicted_violated_true_safe_rate,both_violated_rate,both_safe_rate,true_el_mc_se
pd_over,sensor,RiskBased,-1,-616.2409317851517,814.7704377245923,1309.8765526141165,15718.518631369396,-616.2409317851517,0.5833333333333334,0.1803756283637254,2586.887913973595,118.55873925051489,0.7903915950034326,0.2916666666666667,0.30729166666666663,32.80598640466596,178.047749529951,0.2916666666666667,0.4015264248236641,0.398217551564242,0.03588617747767199,0.6002186355604276,0.015623093419546688,1.0,-0.27732072116839385,178.0,24.0,0.47296288749203086,1.0,0.10416666666666666,0.09375,-0.745881647396903,0.0,,0.09895833333333329,0.0,0.19270833333333331,0.09895833333333329,0.7083333333333334,1.8821356263048312
pd_over,sensor,Static,-1,-1488.2326491483477,1127.7890820537982,2442.274385453608,29307.292625443293,-1488.2326491483477,0.6458333333333334,0.17159379549744597,3679.9644192208566,208.81157620720214,1.392077174714681,0.6614583333333334,0.6979166666666666,76.81254392187907,256.03633727987454,0.6614583333333334,0.4504760910590899,0.5595080102118679,0.0,0.0,0.0,1.0,-0.4176358518390199,174.75,24.0,0.4412796124815941,1.0,0.0,0.0,-0.6431971482643121,0.0,,0.19791666666666663,0.0,0.4635416666666667,0.19791666666666663,0.33854166666666663,3.512175852448038
pd_slope,sensor,BufferedRiskBased,-1,-612.7582079666337,938.4243242328627,1411.1142120696138,16933.370544835365,-612.7582079666337,0.59375,0.17557157789365208,2985.689233626688,89.4488163607733,0.5963254424051553,0.18229166666666663,0.18229166666666663,7.3067963274034256,55.26547596683847,0.1927083333333333,0.37514102343287387,0.20913842702684565,0.02705520558503354,0.4333154867345511,0.0033430922614337503,1.0,-0.23353090896856357,178.0,24.0,0.47298581252107397,1.0,0.09374999999999999,0.04166666666666665,-0.6907425397964274,0.0,,0.09374999999999996,0.020833333333333315,0.10937499999999997,0.07291666666666663,0.796875,2.2200515368769542
pd_slope,sensor,Decrease20,-1,-796.5915465311973,404.11792931054805,1138.5464468706296,13662.557362447555,-796.5915465311973,0.6979166666666666,0.19442187401298203,1166.7177330829888,43.72352386186792,0.2914901590791194,0.08854166666666664,0.08854166666666664,2.2389706045622266,27.703616431525383,0.10937499999999997,0.453262221066409,0.2098963211244886,0.0,0.6851986134341201,0.0,1.0,-0.6898953800366435,152.125,24.0,0.3898903750232421,1.0,0.0,0.0,-0.9746109345604709,0.0,,0.08333333333333329,0.04687499999999997,0.0520833333333333,0.036458333333333315,0.8645833333333334,1.3670246352855486
pd_slope,sensor,Greedy,-1,-870.7952633173336,1070.1080981730959,1780.645525696964,21367.74630836357,-870.7952633173336,0.5520833333333334,0.15504260950382848,4226.570384786686,132.94714302216195,0.8863142868144129,0.33854166666666663,0.33854166666666663,16.19195767022143,93.17012686323856,0.34375,0.41851445227208317,0.26922116147453234,0.33012540374085453,0.14250383707138836,0.08286919640697848,1.0,-0.2119924300076031,188.5,24.0,0.5298649499745807,0.0,0.75,2.0416666666666665,-0.2587709228870034,0.0,,0.14062499999999997,0.005208333333333325,0.203125,0.13541666666666663,0.65625,2.992613719915857
pd_slope,sensor,Myopic,-1,-769.1166972366664,1167.5648577864474,1761.0956339935276,21133.147607922332,-769.1166972366664,0.5520833333333334,0.16401832324877874,4381.05122105891,140.57937498708083,0.9371958332472056,0.35416666666666663,0.35416666666666663,14.2682752675888,75.7416036202353,0.3854166666666667,0.3955725099064761,0.2865946682722222,0.33566781938073775,0.22787614987507523,0.14665421150344538,1.0,-0.18704471268222292,186.75,24.0,0.8551862875174265,1.0,0.7291666666666666,2.770833333333333,-0.12213147167292637,0.0,,0.16666666666666663,0.020833333333333315,0.20833333333333331,0.14583333333333331,0.625,3.2094367331243707
pd_slope,sensor,PPO_hard,101,-768.0006117700482,645.186918168303,1315.705168624573,15788.462023494876,-768.0006117700482,0.625,0.18962452662073095,1840.377254394473,65.8605325239833,0.4390702168265553,0.15104166666666663,0.15104166666666663,6.684470031315838,51.013880212495636,0.1614583333333333,0.42433156094749136,0.23171049994434179,0.0,0.9763138386681798,0.0,1.0,-0.4331571905576755,173.875,24.0,0.5244786999974167,,0.0,0.0,-0.9616622781134526,0.0,,0.09374999999999994,0.031249999999999976,0.08854166666666664,0.06249999999999997,0.8177083333333333,1.7452150326879956
pd_slope,sensor,PPO_hard,202,-568.7102293229582,735.7641684640166,1194.471742723584,14333.660912683006,-568.7102293229582,0.6041666666666666,0.1944724856231005,1970.3890161847924,66.18820116639432,0.44125467444262884,0.11979166666666663,0.11979166666666663,4.826872837939021,38.571394967684,0.13541666666666663,0.39723539480028786,0.2271890371333839,0.0,0.2690078087914993,0.0,1.0,-0.2960654257200332,179.25,24.0,0.5227029124944238,,0.0,0.0,-0.8151773450962486,0.0,,0.0833333333333333,0.026041666666666637,0.06249999999999995,0.05729166666666665,0.8541666666666666,1.6521685171830993
pd_slope,sensor,PPO_hard,303,-796.5915465311973,404.11792931054805,1138.5464468706296,13662.557362447555,-796.5915465311973,0.6979166666666666,0.19442187401298203,1166.7177330829888,43.72352386186792,0.2914901590791194,0.08854166666666664,0.08854166666666664,2.2389706045622266,27.703616431525383,0.10937499999999997,0.453262221066409,0.2098963211244886,0.0,0.6851986134341201,0.0,1.0,-0.6898953800366435,152.125,24.0,0.43573436253063846,,0.0,0.0,-0.9746109345604709,0.0,,0.08333333333333329,0.04687499999999997,0.0520833333333333,0.036458333333333315,0.8645833333333334,1.3670246352855486
pd_slope,sensor,PPO_penalty,101,-796.5915465311973,404.11792931054805,1138.5464468706296,13662.557362447555,-823.4591937859441,0.6979166666666666,0.19442187401298203,1166.7177330829888,43.72352386186792,0.2914901590791194,0.08854166666666664,0.08854166666666664,2.2389706045622266,27.703616431525383,0.10937499999999997,0.453262221066409,0.2098963211244886,0.0,0.6851986134341201,0.0,1.0,-0.6898953800366435,152.125,24.0,0.44995653751539066,,0.0,0.0,-0.9746109345604709,0.0,,0.08333333333333329,0.04687499999999997,0.0520833333333333,0.036458333333333315,0.8645833333333334,1.3670246352855486
pd_slope,sensor,PPO_penalty,202,-796.5915465311973,404.11792931054805,1138.5464468706296,13662.557362447555,-823.4591937859441,0.6979166666666666,0.19442187401298203,1166.7177330829888,43.72352386186792,0.2914901590791194,0.08854166666666664,0.08854166666666664,2.2389706045622266,27.703616431525383,0.10937499999999997,0.453262221066409,0.2098963211244886,0.0,0.6851986134341201,0.0,1.0,-0.6898953800366435,152.125,24.0,0.4438729750108905,,0.0,0.0,-0.9746109345604709,0.0,,0.08333333333333329,0.04687499999999997,0.0520833333333333,0.036458333333333315,0.8645833333333334,1.3670246352855486
