case,reference,policy,metric,portfolios,difference,lower,upper
pd_noise,normal_medium,PPO_unconstrained,el_violation_rate,8,0.010416666666666676,-0.015624999999999981,0.041666666666666664
pd_noise,normal_medium,RiskBased,el_violation_rate,8,0.036458333333333356,0.007682291666666689,0.06523437499999993
pd_noise,normal_medium,Static,el_violation_rate,8,0.031249999999999986,-0.015625000000000003,0.07291666666666667
pd_noise,normal_medium,BufferedRiskBased,true_violation_rate,8,0.005208333333333325,-0.015625000000000014,0.031249999999999986
pd_noise,normal_medium,Decrease20,true_violation_rate,8,0.0,0.0,0.0
pd_noise,normal_medium,Greedy,true_violation_rate,8,0.010416666666666663,0.0,0.031249999999999986
pd_noise,normal_medium,Myopic,true_violation_rate,8,0.010416666666666675,0.0,0.03125000000000003
pd_noise,normal_medium,PPO_hard,true_violation_rate,8,-0.0017361111111111119,-0.013888888888888881,0.006944444444444434
pd_noise,normal_medium,PPO_penalty,true_violation_rate,8,0.0,0.0,0.0
pd_noise,normal_medium,PPO_unconstrained,true_violation_rate,8,0.0,0.0,0.0
pd_noise,normal_medium,RiskBased,true_violation_rate,8,0.005208333333333325,-0.015625000000000014,0.031249999999999986
pd_noise,normal_medium,Static,true_violation_rate,8,0.0,0.0,0.0
pd_noise,normal_medium,BufferedRiskBased,predicted_safe_true_violated_rate,8,-0.01041666666666665,-0.0208333333333333,0.0
pd_noise,normal_medium,Decrease20,predicted_safe_true_violated_rate,8,-0.010416666666666663,-0.02604166666666665,0.0
pd_noise,normal_medium,Greedy,predicted_safe_true_violated_rate,8,0.0,-0.015624999999999976,0.015624999999999976
pd_noise,normal_medium,Myopic,predicted_safe_true_violated_rate,8,0.010416666666666663,0.0,0.031249999999999986
pd_noise,normal_medium,PPO_hard,predicted_safe_true_violated_rate,8,-0.005208333333333333,-0.015624999999999997,0.006944444444444434
pd_noise,normal_medium,PPO_penalty,predicted_safe_true_violated_rate,8,-0.010416666666666663,-0.02604166666666664,0.0
pd_noise,normal_medium,PPO_unconstrained,predicted_safe_true_violated_rate,8,-0.010416666666666663,-0.02604166666666664,0.0
pd_noise,normal_medium,RiskBased,predicted_safe_true_violated_rate,8,-0.01041666666666665,-0.0208333333333333,0.0
pd_noise,normal_medium,Static,predicted_safe_true_violated_rate,8,-0.005208333333333325,-0.015624999999999976,0.0
buffer_1.0,stress_medium,BufferedRiskBased,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Decrease20,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Greedy,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Myopic,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_hard,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_penalty,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_unconstrained,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,RiskBased,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Static,value,8,0.0,0.0,0.0
buffer_1.0,stress_medium,BufferedRiskBased,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Decrease20,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Greedy,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Myopic,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_hard,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_penalty,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_unconstrained,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,RiskBased,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Static,el_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,BufferedRiskBased,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Decrease20,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Greedy,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Myopic,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_hard,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_penalty,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_unconstrained,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,RiskBased,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Static,true_violation_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,BufferedRiskBased,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Decrease20,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Greedy,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Myopic,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_hard,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_penalty,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,PPO_unconstrained,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,RiskBased,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.0,stress_medium,Static,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
buffer_1.1,stress_medium,BufferedRiskBased,value,8,0.0,0.0,0.0
buffer_1.1,stress_medium,Decrease20,value,8,0.0,0.0,0.0
buffer_1.1,stress_medium,Greedy,value,8,89.86977798966173,-11.926800330486408,179.0366303141966
