case,policy,reference,metric,difference,lower,upper
normal_tight,PPO_hard,Myopic,el_violation_rate,-0.25405092592592593,-0.32528935185185187,-0.18945312500000006
normal_tight,PPO_hard,Decrease20,el_violation_rate,0.034143518518518524,0.0,0.07757523148148147
normal_tight,PPO_hard,Static,true_violation_rate,-0.13310185185185186,-0.1762297453703704,-0.09228877314814818
normal_tight,PPO_hard,Greedy,true_violation_rate,-0.061921296296296294,-0.09953703703703705,-0.024580439814814822
normal_tight,PPO_hard,Myopic,true_violation_rate,-0.06539351851851852,-0.10620659722222223,-0.02863136574074075
normal_tight,PPO_hard,Decrease20,true_violation_rate,0.005787037037037037,-0.027228009259259257,0.045746527777777754
normal_tight,PPO_penalty,Static,value,555.0191360389844,350.2831862960125,721.2920799941239
normal_tight,PPO_penalty,Greedy,value,18.686852885103317,-95.20338775856851,120.11914914543331
normal_tight,PPO_penalty,Myopic,value,22.59111603639092,-136.5963330512047,166.88590049923113
normal_tight,PPO_penalty,Decrease20,value,-0.20588027220793492,-0.5261873273889108,0.0
normal_tight,PPO_penalty,Static,loss,-1080.602921280216,-1243.8515841566375,-902.2581990383827
normal_tight,PPO_penalty,Greedy,loss,-475.9271403057983,-564.8143493491506,-380.0881190086518
normal_tight,PPO_penalty,Myopic,loss,-478.7347771857442,-595.3395874527536,-348.72744709563625
normal_tight,PPO_penalty,Decrease20,loss,0.0,0.0,0.0
normal_tight,PPO_penalty,Static,default_rate,0.06944444444444445,0.029427083333333336,0.1111111111111111
normal_tight,PPO_penalty,Greedy,default_rate,0.13541666666666666,0.10416666666666667,0.1701388888888889
normal_tight,PPO_penalty,Myopic,default_rate,0.1076388888888889,0.06597222222222221,0.1527777777777778
normal_tight,PPO_penalty,Decrease20,default_rate,0.0,0.0,0.0
normal_tight,PPO_penalty,Static,el_violation_rate,-0.4097222222222222,-0.5,-0.3376302083333334
normal_tight,PPO_penalty,Greedy,el_violation_rate,-0.34375,-0.417578125,-0.2803385416666667
normal_tight,PPO_penalty,Myopic,el_violation_rate,-0.2881944444444444,-0.3411892361111111,-0.2361111111111111
normal_tight,PPO_penalty,Decrease20,el_violation_rate,0.0,0.0,0.0
normal_tight,PPO_penalty,Static,true_violation_rate,-0.1388888888888889,-0.17799479166666668,-0.10069444444444443
normal_tight,PPO_penalty,Greedy,true_violation_rate,-0.06770833333333333,-0.109375,-0.029513888888888867
normal_tight,PPO_penalty,Myopic,true_violation_rate,-0.07118055555555555,-0.11458333333333333,-0.03381076388888893
normal_tight,PPO_penalty,Decrease20,true_violation_rate,0.0,0.0,0.0
normal_tight,PPO_unconstrained,Static,value,555.0191360389844,350.2831862960125,721.2920799941239
normal_tight,PPO_unconstrained,Greedy,value,18.686852885103317,-95.20338775856851,120.11914914543331
normal_tight,PPO_unconstrained,Myopic,value,22.59111603639092,-136.5963330512047,166.88590049923113
normal_tight,PPO_unconstrained,Decrease20,value,-0.20588027220793492,-0.5261873273889108,0.0
normal_tight,PPO_unconstrained,Static,loss,-1080.602921280216,-1243.8515841566375,-902.2581990383827
normal_tight,PPO_unconstrained,Greedy,loss,-475.9271403057983,-564.8143493491506,-380.0881190086518
normal_tight,PPO_unconstrained,Myopic,loss,-478.7347771857442,-595.3395874527536,-348.72744709563625
normal_tight,PPO_unconstrained,Decrease20,loss,0.0,0.0,0.0
normal_tight,PPO_unconstrained,Static,default_rate,0.06944444444444445,0.029427083333333336,0.1111111111111111
normal_tight,PPO_unconstrained,Greedy,default_rate,0.13541666666666666,0.10416666666666667,0.1701388888888889
normal_tight,PPO_unconstrained,Myopic,default_rate,0.1076388888888889,0.06597222222222221,0.1527777777777778
normal_tight,PPO_unconstrained,Decrease20,default_rate,0.0,0.0,0.0
normal_tight,PPO_unconstrained,Static,el_violation_rate,-0.4097222222222222,-0.5,-0.3376302083333334
normal_tight,PPO_unconstrained,Greedy,el_violation_rate,-0.34375,-0.417578125,-0.2803385416666667
normal_tight,PPO_unconstrained,Myopic,el_violation_rate,-0.2881944444444444,-0.3411892361111111,-0.2361111111111111
normal_tight,PPO_unconstrained,Decrease20,el_violation_rate,0.0,0.0,0.0
normal_tight,PPO_unconstrained,Static,true_violation_rate,-0.1388888888888889,-0.17799479166666668,-0.10069444444444443
normal_tight,PPO_unconstrained,Greedy,true_violation_rate,-0.06770833333333333,-0.109375,-0.029513888888888867
normal_tight,PPO_unconstrained,Myopic,true_violation_rate,-0.07118055555555555,-0.11458333333333333,-0.03381076388888893
normal_tight,PPO_unconstrained,Decrease20,true_violation_rate,0.0,0.0,0.0
normal_tight,RiskBased,Static,value,571.3760305061764,395.2181445825836,740.1889791524084
normal_tight,RiskBased,Greedy,value,35.04374735229533,-49.97415627172479,125.143074553153
normal_tight,RiskBased,Myopic,value,38.948010503582935,-93.793644074738,175.9153184915201
normal_tight,RiskBased,Decrease20,value,16.151014194984082,-67.33838863333648,113.25218453918129
normal_tight,RiskBased,Static,loss,-712.680040549838,-872.0574677727503,-546.09705850676
normal_tight,RiskBased,Greedy,loss,-108.00425957542025,-184.61345096983976,-36.49664243354608
normal_tight,RiskBased,Myopic,loss,-110.81189645536621,-240.48991584936957,1.7967738042919152
normal_tight,RiskBased,Decrease20,loss,367.922880730378,295.47204847922495,432.87872339739226
normal_tight,RiskBased,Static,default_rate,-9.25185853854297e-18,-0.03125000000000003,0.03124999999999999
normal_tight,RiskBased,Greedy,default_rate,0.06597222222222222,0.04513888888888889,0.09027777777777778
normal_tight,RiskBased,Myopic,default_rate,0.038194444444444434,0.008593749999999994,0.06944444444444443
normal_tight,RiskBased,Decrease20,default_rate,-0.06944444444444446,-0.10251736111111111,-0.03289930555555565
normal_tight,RiskBased,Static,el_violation_rate,-0.2569444444444444,-0.32903645833333334,-0.1831163194444445
normal_tight,RiskBased,Greedy,el_violation_rate,-0.19097222222222224,-0.25264756944444444,-0.12847222222222224
normal_tight,RiskBased,Myopic,el_violation_rate,-0.13541666666666669,-0.20056423611111113,-0.08068576388888894
normal_tight,RiskBased,Decrease20,el_violation_rate,0.1527777777777778,0.11193576388888889,0.18923611111111116
normal_tight,RiskBased,Static,true_violation_rate,-0.09201388888888888,-0.1241753472222222,-0.0615885416666667
normal_tight,RiskBased,Greedy,true_violation_rate,-0.020833333333333325,-0.05381944444444444,0.010416666666666683
normal_tight,RiskBased,Myopic,true_violation_rate,-0.02430555555555555,-0.06249999999999998,0.012152777777777797
normal_tight,RiskBased,Decrease20,true_violation_rate,0.04687500000000002,0.008680555555555563,0.09201388888888891
normal_tight,Static,Greedy,value,-536.3322831538811,-667.0854455559105,-408.3112711945135
normal_tight,Static,Myopic,value,-532.4280200025935,-673.555872949012,-368.2582975357832
normal_tight,Static,Decrease20,value,-555.2250163111922,-722.0639375632325,-374.38548822207815
normal_tight,Static,Greedy,loss,604.6757809744178,479.73319020390295,726.6159601149113
normal_tight,Static,Myopic,loss,601.8681440944719,446.540113409548,735.0135814557387
normal_tight,Static,Decrease20,loss,1080.6029212802162,900.7205468474308,1248.0875185473571
normal_tight,Static,Greedy,default_rate,0.06597222222222222,0.04513888888888889,0.08862847222222216
normal_tight,Static,Myopic,default_rate,0.03819444444444444,0.006944444444444441,0.07291666666666667
normal_tight,Static,Decrease20,default_rate,-0.06944444444444443,-0.10946180555555556,-0.03125
normal_tight,Static,Greedy,el_violation_rate,0.06597222222222222,0.027777777777777776,0.11284722222222224
normal_tight,Static,Myopic,el_violation_rate,0.12152777777777775,0.06597222222222221,0.17890624999999993
normal_tight,Static,Decrease20,el_violation_rate,0.40972222222222227,0.3385416666666667,0.48875868055555555
normal_tight,Static,Greedy,true_violation_rate,0.07118055555555557,0.0320746527777778,0.10590277777777779
normal_tight,Static,Myopic,true_violation_rate,0.06770833333333333,0.024305555555555556,0.10590277777777779
normal_tight,Static,Decrease20,true_violation_rate,0.1388888888888889,0.10243055555555557,0.17973090277777776
order_fixed,BufferedRiskBased,Static,value,874.5030674678576,655.1346801515236,1117.7107573212995
order_fixed,BufferedRiskBased,Greedy,value,294.60857929898384,97.26917897655596,466.2811182200318
order_fixed,BufferedRiskBased,Myopic,value,281.83414326011496,47.66720100072515,516.6670581024678
order_fixed,BufferedRiskBased,Decrease20,value,182.86196485070732,26.26877758731549,369.44865360749094
order_fixed,BufferedRiskBased,Static,loss,-1027.3943805272504,-1264.4298809328948,-825.000420577637
order_fixed,BufferedRiskBased,Greedy,loss,-388.5007499772137,-531.6813684320329,-230.2496440536372
order_fixed,BufferedRiskBased,Myopic,loss,-433.9741127110085,-635.0194198635759,-232.4186273847333
order_fixed,BufferedRiskBased,Decrease20,loss,276.3335580557281,138.2235481329818,400.3378898693706
order_fixed,BufferedRiskBased,Static,default_rate,-0.05208333333333335,-0.09375000000000003,-0.02083333333333333
order_fixed,BufferedRiskBased,Greedy,default_rate,0.03125,-0.010416666666666657,0.0625
order_fixed,BufferedRiskBased,Myopic,default_rate,0.020833333333333322,-0.010416666666666692,0.052083333333333336
order_fixed,BufferedRiskBased,Decrease20,default_rate,-0.10416666666666666,-0.16666666666666666,-0.05208333333333332
order_fixed,BufferedRiskBased,Static,el_violation_rate,-0.21875000000000006,-0.3100260416666667,-0.13020833333333334
order_fixed,BufferedRiskBased,Greedy,el_violation_rate,-0.16666666666666669,-0.23958333333333334,-0.09375000000000004
order_fixed,BufferedRiskBased,Myopic,el_violation_rate,-0.18229166666666669,-0.23958333333333331,-0.13020833333333337
order_fixed,BufferedRiskBased,Decrease20,el_violation_rate,0.09895833333333334,0.04687500000000001,0.14583333333333337
order_fixed,BufferedRiskBased,Static,true_violation_rate,-0.10416666666666667,-0.14583333333333331,-0.06770833333333334
order_fixed,BufferedRiskBased,Greedy,true_violation_rate,-0.046875,-0.08333333333333334,-0.01041666666666666
order_fixed,BufferedRiskBased,Myopic,true_violation_rate,-0.06770833333333334,-0.109375,-0.026041666666666654
order_fixed,BufferedRiskBased,Decrease20,true_violation_rate,0.010416666666666675,-0.03645833333333333,0.05729166666666668
order_fixed,Decrease20,Static,value,691.6411026171504,432.2190300203484,940.3975565798543
order_fixed,Decrease20,Greedy,value,111.74661444827649,-73.91917421183936,285.0293734552207
order_fixed,Decrease20,Myopic,value,98.97217840940763,-97.83640233333111,316.68890518840306
order_fixed,Decrease20,Static,loss,-1303.7279385829784,-1508.0182806186838,-1101.672092455043
order_fixed,Decrease20,Greedy,loss,-664.8343080329417,-829.3870658835125,-490.09685194688365
order_fixed,Decrease20,Myopic,loss,-710.3076707667366,-869.6852570023736,-560.9456332863942
order_fixed,Decrease20,Static,default_rate,0.052083333333333315,-2.7755575615628914e-17,0.10416666666666664
order_fixed,Decrease20,Greedy,default_rate,0.13541666666666666,0.07786458333333338,0.19791666666666663
order_fixed,Decrease20,Myopic,default_rate,0.12499999999999997,0.0625,0.17708333333333331
order_fixed,Decrease20,Static,el_violation_rate,-0.31770833333333337,-0.4062500000000001,-0.23437500000000006
order_fixed,Decrease20,Greedy,el_violation_rate,-0.265625,-0.3697916666666667,-0.1666666666666667
order_fixed,Decrease20,Myopic,el_violation_rate,-0.28125,-0.3541666666666667,-0.20833333333333337
order_fixed,Decrease20,Static,true_violation_rate,-0.11458333333333334,-0.15104166666666669,-0.07291666666666667
order_fixed,Decrease20,Greedy,true_violation_rate,-0.05729166666666667,-0.08854166666666667,-0.026041666666666678
order_fixed,Decrease20,Myopic,true_violation_rate,-0.07812500000000001,-0.14062500000000003,-0.031249999999999986
order_fixed,Greedy,Static,value,579.894488168874,354.70409117410486,814.0241467164199
order_fixed,Greedy,Myopic,value,-12.774436038868842,-247.2432706098238,205.20058591334242
order_fixed,Greedy,Decrease20,value,-111.74661444827649,-285.0293734552207,73.91917421183919
order_fixed,Greedy,Static,loss,-638.8936305500367,-866.608059206259,-405.4324423686984
order_fixed,Greedy,Myopic,loss,-45.47336273379477,-256.95220392585196,158.78418907680904
order_fixed,Greedy,Decrease20,loss,664.8343080329417,490.0968519468836,829.3870658835125
order_fixed,Greedy,Static,default_rate,-0.08333333333333334,-0.12500000000000003,-0.04166666666666668
order_fixed,Greedy,Myopic,default_rate,-0.010416666666666678,-0.041666666666666685,0.020833333333333322
order_fixed,Greedy,Decrease20,default_rate,-0.13541666666666666,-0.19791666666666663,-0.0778645833333336
order_fixed,Greedy,Static,el_violation_rate,-0.05208333333333334,-0.17708333333333334,0.07291666666666667
order_fixed,Greedy,Myopic,el_violation_rate,-0.015625000000000007,-0.078125,0.04166666666666666
order_fixed,Greedy,Decrease20,el_violation_rate,0.265625,0.1666666666666667,0.3697916666666667
order_fixed,Greedy,Static,true_violation_rate,-0.05729166666666667,-0.09895833333333333,-0.00247395833333346
