policy,feature,bucket,decisions,requested_change,effective_change,increase_rate,rejection_rate
PPO_penalty,utilization,"(0.75, 1.0]",6174,-0.19999999999999993,-0.09464728866214968,0.0,0.0
PPO_penalty,utilization,"(1.0, inf]",2682,-0.19999999999999996,-0.16656311638314283,0.0,0.0
PPO_unconstrained,utilization,"(-0.001, 0.25]",324,-0.19999999999999996,-0.1999999999999999,0.0,0.0
PPO_unconstrained,utilization,"(0.25, 0.5]",786,-0.1999999999999999,-0.1999999999999999,0.0,0.0
PPO_unconstrained,utilization,"(0.5, 0.75]",963,-0.19999999999999987,-0.19688473520249208,0.0,0.0
PPO_unconstrained,utilization,"(0.75, 1.0]",6174,-0.19999999999999993,-0.09464728866214968,0.0,0.0
PPO_unconstrained,utilization,"(1.0, inf]",2682,-0.19999999999999996,-0.16656311638314283,0.0,0.0
RiskBased,utilization,"(-0.001, 0.25]",687,0.030713245997088794,0.024600166783834938,0.3173216885007278,0.042212518195050945
RiskBased,utilization,"(0.25, 0.5]",929,-0.0034445640473627346,-0.007026815810240165,0.12486544671689989,0.03229278794402583
RiskBased,utilization,"(0.5, 0.75]",729,-0.034156378600823004,-0.034567901234567856,0.04252400548696845,0.00411522633744856
RiskBased,utilization,"(0.75, 1.0]",1360,-0.05286764705882347,-0.05289273297097241,0.011029411764705883,0.0007352941176470588
RiskBased,utilization,"(1.0, inf]",446,-0.0937219730941703,-0.09370239718485841,0.0,0.0
Static,utilization,"(-0.001, 0.25]",472,0.0,0.0,0.0,0.0
Static,utilization,"(0.25, 0.5]",1482,0.0,0.0,0.0,0.0
Static,utilization,"(0.5, 0.75]",1055,0.0,0.0,0.0,0.0
Static,utilization,"(0.75, 1.0]",1232,0.0,0.0,0.0,0.0
BufferedRiskBased,income,"(-0.001, 1500.0]",259,-0.032818532818532774,-0.034914611508208515,0.11196911196911197,0.019305019305019305
BufferedRiskBased,income,"(1500.0, 3000.0]",1840,-0.026630434782608653,-0.02855609761644654,0.10326086956521739,0.01684782608695652
BufferedRiskBased,income,"(3000.0, 5000.0]",1541,-0.02790395846852689,-0.03019323293345874,0.09085009733939,0.01752109020116807
BufferedRiskBased,income,"(5000.0, 100000.0]",511,-0.03953033268101757,-0.039998253124932,0.0410958904109589,0.0
