case,policy,metric,mean,lower,upper,portfolio_sd,training_seed_sd
order_reverse,PPO_penalty,loss,1138.5464468706296,979.5153857423006,1339.2553354440965,304.7900409398794,0.0
order_reverse,PPO_penalty,default_rate,0.6979166666666666,0.65625,0.7291666666666666,0.06200198409523708,0.0
order_reverse,PPO_penalty,el_violation_rate,0.12499999999999996,0.07812499999999996,0.16666666666666663,0.07386710503565985,0.0
order_reverse,PPO_penalty,true_violation_rate,0.08333333333333329,0.05729166666666661,0.10937499999999996,0.044543540318737404,0.0
order_reverse,PPO_unconstrained,value,-796.5915465311973,-1000.0072528048362,-628.6704778860282,319.63485757479305,0.0
order_reverse,PPO_unconstrained,loss,1138.5464468706296,979.5153857423006,1339.2553354440965,304.7900409398794,0.0
order_reverse,PPO_unconstrained,default_rate,0.6979166666666666,0.65625,0.7291666666666666,0.06200198409523708,0.0
order_reverse,PPO_unconstrained,el_violation_rate,0.12499999999999996,0.07812499999999996,0.16666666666666663,0.07386710503565985,0.0
order_reverse,PPO_unconstrained,true_violation_rate,0.08333333333333329,0.05729166666666661,0.10937499999999996,0.044543540318737404,0.0
order_reverse,RiskBased,value,-613.72958168049,-797.9303178864325,-416.2897282570242,335.9075969375126,0.0
order_reverse,RiskBased,loss,1414.8800049263575,1257.7029633052264,1560.222153830672,265.3646720374766,0.0
order_reverse,RiskBased,default_rate,0.59375,0.5208333333333334,0.65625,0.11301689015504478,0.0
order_reverse,RiskBased,el_violation_rate,0.22395833333333331,0.184765625,0.265625,0.06658290869403898,0.0
order_reverse,RiskBased,true_violation_rate,0.09374999999999997,0.059765624999999975,0.13541666666666663,0.05786375623578446,0.0
order_reverse,Static,value,-1488.2326491483477,-1732.694541667311,-1262.7901396922134,375.1337988373068,0.0
order_reverse,Static,loss,2442.274385453608,2238.0155047714366,2648.1061825476245,325.0895151226942,0.0
order_reverse,Static,default_rate,0.6458333333333333,0.5833333333333334,0.71875,0.10681165741027596,0.0
order_reverse,Static,el_violation_rate,0.44270833333333337,0.35416666666666663,0.5364583333333334,0.1525860087929594,0.0
order_reverse,Static,true_violation_rate,0.19791666666666663,0.1614583333333333,0.22916666666666663,0.05786375623578448,0.0
