case,kind,policy,value,revenue,loss,portfolio_loss,reward,default_rate,delinquent_rate,mean_ead,mean_el,budget_utilization,el_violation_rate,any_violation_rate,violation_magnitude,worst_violation,inherited_violation_rate,top_decile_el_share,high_risk_share,increase_rate,decrease_rate,rejection_rate,hard_nonworsening,value_per_ead,decisions,portfolio_months,seconds,solver_exact_fraction,distinct_increase_share,reversals_per_customer,limit_growth,stress_loss,ead_before_stress,true_violation_rate,predicted_safe_true_violated_rate,predicted_violated_true_safe_rate,both_violated_rate,both_safe_rate,true_el_mc_se
constant_budget_stress,budget_rule,Myopic,-1772.7948011637,690.3060503832515,2352.6783762233176,28232.14051467981,-1772.7948011637,0.8645833333333334,0.2499016657664611,2717.4485423631636,136.87987710356654,0.912532514023777,0.418560606060606,0.5528461700336701,28.846372487886054,149.72070331116956,0.4431818181818182,0.5730412321573003,0.5302360137214782,0.26760924108351886,0.2947498656970403,0.2232239124076151,1.0,-0.7056895397548036,140.41666666666666,22.875,0.68399395000597,1.0,0.8055555555555555,2.034722222222222,-0.7305678652050163,1527.942117525944,4062.441735781929,0.24663299663299662,0.025489267676767652,0.19741687710437708,0.22114372895622894,0.5559501262626262,3.1767751123334147
constant_budget_stress,budget_rule,PPO_hard,-1065.4063824893967,465.9096206462409,1458.0003625900565,17496.00435108068,-1065.4063824893967,0.892361111111111,0.2799657208134248,1561.994812904379,78.15073607683335,0.521004907178889,0.1726337790224529,0.363809225928679,8.830683079010882,59.378670434814325,0.19344606858474245,0.5689618506130233,0.5056453187616005,0.0,0.7083997388407638,0.0023790522208120475,1.0,-0.7159640288332055,127.61111111111113,21.583333333333332,0.37263381527413414,,0.0,0.0,-0.9572694948100268,660.64444923537,1817.8978307224204,0.1376968991907072,0.05965576069097739,0.09459264052272305,0.07804113849972981,0.7677104602865698,1.9193265808462516
constant_budget_stress,budget_rule,PPO_penalty,-849.4075646150014,340.87518088937895,1137.0812681164086,13644.975217396905,-901.3893293957753,0.8923611111111112,0.275865745015163,1212.253773137784,58.48072860780937,0.38987152405206243,0.14031743110690476,0.3193546219862009,5.712941072962264,42.164178083836745,0.15973030989478354,0.5764549924008563,0.46651215398576373,0.0,0.8404507500451088,0.0,0.875,-0.7219945384089858,120.125,20.958333333333332,0.33214867222219857,,0.0,0.0,-0.9874137828177342,337.59090285947985,1102.3263042088706,0.10389544665860452,0.048737757125915,0.08515974157421524,0.05515768953268951,0.8109448117671803,1.4757034420376238
constant_budget_stress,budget_rule,PPO_unconstrained,-849.4075646150014,340.87518088937895,1137.0812681164086,13644.975217396905,-849.4075646150014,0.8923611111111112,0.275865745015163,1212.253773137784,58.48072860780937,0.38987152405206243,0.14031743110690476,0.3193546219862009,5.712941072962264,42.164178083836745,0.15973030989478354,0.5764549924008563,0.46651215398576373,0.0,0.8404507500451088,0.0,0.875,-0.7219945384089858,120.125,20.958333333333332,0.32772957501583727,,0.0,0.0,-0.9874137828177342,337.59090285947985,1102.3263042088706,0.10389544665860452,0.048737757125915,0.08515974157421524,0.05515768953268951,0.8109448117671803,1.4757034420376238
constant_budget_stress,budget_rule,RiskBased,-1461.7339645164104,602.3475691884661,1968.6564488509664,23623.877386211596,-1461.7339645164104,0.8888888888888888,0.26613471893028534,2338.2943884536794,106.7049812797958,0.7113665418653053,0.2957401394901395,0.45778844997595,15.681548381290035,91.44227578528715,0.3186252405002405,0.5556700479846167,0.467312373988718,0.04818562054831605,0.5845346170133362,0.023534008434868286,1.0,-0.6697596032867111,131.91666666666666,22.083333333333332,0.3243455791671294,1.0,0.12847222222222218,0.10763888888888888,-0.8573159427613645,1124.9808808354321,3221.133799424437,0.2203057359307359,0.05868205868205864,0.1341164622414622,0.1616236772486772,0.6455778018278019,2.6120860653139775
constant_budget_stress,budget_rule,Static,-2104.243446492475,728.2733003569268,2714.4142027545404,32572.97043305448,-2104.243446492475,0.8611111111111112,0.2405820851878074,2789.3848516011044,151.82666048304753,1.0121777365536502,0.4860735329485329,0.6357210497835498,41.215223929683106,205.44368723901758,0.4860735329485329,0.5524608824620462,0.5577549181463699,0.0,0.0,0.0,1.0,-0.7907565561218086,138.5,22.416666666666668,0.3346251291659428,1.0,0.0,0.0,-0.8300148709387,1760.1184384300714,4052.5669265739357,0.29462406806156805,0.032433712121212106,0.22388317700817698,0.26219035594035595,0.48149275493025495,3.6591131791988496
normal_loose,main,BufferedRiskBased,-679.266990252925,824.497771607209,1381.9391362264407,16583.26963471729,-679.266990252925,0.625,0.182842596265989,2944.815271054187,85.35752341335815,0.35565634755565895,0.03993055555555554,0.045138888888888874,1.5485108572742803,16.381225665298178,0.04687499999999999,0.4613674345947394,0.22114489282875757,0.08959040082008811,0.41366302281031175,0.002347238334458929,1.0,-0.2902971390435707,172.95833333333334,24.0,0.46949659584303544,1.0,0.21874999999999997,0.1284722222222222,-0.5659126092374852,0.0,,0.03819444444444443,0.012152777777777768,0.013888888888888876,0.026041666666666647,0.9479166666666666,1.8677176807268998
normal_loose,main,Decrease20,-696.5574782007775,374.89239090619026,1014.5504401678603,12174.605282014323,-696.5574782007775,0.6944444444444445,0.201863909681788,1074.4814324981746,45.2243152530474,0.18843464688769748,0.003472222222222217,0.006944444444444434,0.06199336381555673,1.4878407315733615,0.012152777777777768,0.5456799270369179,0.23708966544845178,0.0,0.6854002543101215,0.0007264150943396209,1.0,-0.686502086561119,151.79166666666666,24.0,0.41959788751167554,1.0,0.0,0.0,-0.9721601969035096,0.0,,0.024305555555555542,0.024305555555555542,0.003472222222222217,0.0,0.9722222222222222,1.131491327067245
normal_loose,main,Greedy,-908.8894628921348,1002.3377189747835,1762.4065862405887,21148.879034887064,-908.8894628921348,0.5416666666666666,0.15276389043630945,4685.1786789315975,155.9422365625472,0.6497593190106133,0.15798611111111108,0.15798611111111108,9.043064915468008,78.65988871163883,0.16145833333333331,0.48065936086577693,0.2844780495787414,0.4423100689115497,0.0839724124530396,0.030272862772927834,1.0,-0.2253596781851567,188.95833333333334,24.0,0.5662153583301309,0.0,0.9513888888888888,1.315972222222222,-0.09105544712246892,0.0,,0.07986111111111108,0.02083333333333332,0.09895833333333331,0.05902777777777774,0.8211805555555555,2.6483828707897357
normal_loose,main,Myopic,-1082.765732955866,1054.8886640911892,1979.8216737736066,23757.86008528328,-1082.765732955866,0.5590277777777778,0.1488079101491358,5015.224677760038,171.6316162109649,0.7151317342123537,0.19791666666666666,0.19791666666666666,12.436539763870542,100.61497193916182,0.21527777777777776,0.46885389726029286,0.30304681546897744,0.3538572067361028,0.13764762211743273,0.0740988226768299,1.0,-0.24910199440941902,189.58333333333334,24.0,0.8141142833240641,1.0,0.9548611111111112,1.9513888888888886,-0.13895897620067327,0.0,,0.0972222222222222,0.010416666666666656,0.11111111111111109,0.08680555555555552,0.7916666666666666,2.8927070080505857
