model,sample,n_obs,n_defaults,default_rate,mean_predicted_pd,roc_auc,pr_auc,brier,log_loss,ece,roc_auc_lower,roc_auc_upper,roc_auc_bootstrap_valid,brier_lower,brier_upper,brier_bootstrap_valid,pr_auc_lower,pr_auc_upper,pr_auc_bootstrap_valid,log_loss_lower,log_loss_upper,log_loss_bootstrap_valid
boosting,severe_stress_behavior,7896,6062,0.7677304964539007,0.49255666315064633,0.848080467664738,0.9451420100197115,0.21819855859253987,0.6403665924472604,0.2751738333032544,0.8226852685494163,0.8715740095607515,300,0.20556051427416588,0.23075854327781609,300,0.9308065750457644,0.9573048625509126,300,0.6048027385839039,0.6731767981074487,300
boosting_calibrated,severe_stress_behavior,7896,6062,0.7677304964539007,0.5465265331045547,0.848080467664738,0.9451420100197115,0.1858851936898979,0.551945347178401,0.22120396334934603,0.8226852685494163,0.8715740095607515,300,0.174781810639868,0.19682111956110965,300,0.9308065750457644,0.9573048625509126,300,0.5219446489064328,0.579953092801105,300
constant,baseline_static,9922,4377,0.4411408990122959,0.4339842027184155,0.5,0.4411408990122959,0.2465868245327621,0.686306425135442,0.007156696293880438,0.5,0.5,300,0.2432969532704938,0.2505868052259882,300,0.41622359589895463,0.4714365317088499,300,0.6796880442233847,0.6943533648963593,300
logistic,baseline_static,9922,4377,0.4411408990122959,0.4474791970803711,0.8267809866848452,0.8008755893977172,0.1679881897335808,0.5012647313142149,0.018754276768268244,0.8059273063149252,0.846872386820881,300,0.1592359739882115,0.17830205665648347,300,0.7692002987577524,0.8274469508575277,300,0.4782141407249575,0.5275000625296024,300
logistic_calibrated,baseline_static,9922,4377,0.4411408990122959,0.4908436587394018,0.8267809866848452,0.8008755893977172,0.1717313023573466,0.509194462407431,0.051726537158693055,0.8059273063149252,0.846872386820881,300,0.1613784306619504,0.18257466085407142,300,0.7692002987577524,0.8274469508575277,300,0.48280790336181606,0.5372656721925378,300
boosting,baseline_static,9922,4377,0.4411408990122959,0.4481796954232584,0.8392965688955691,0.8190955021778847,0.16216160729838427,0.4884426445825556,0.028255854063146305,0.8198523720454557,0.8581233025017774,300,0.15294164165795723,0.17321767866227453,300,0.7914041259381114,0.845486465609032,300,0.46190060848564585,0.516468304135093,300
boosting_calibrated,baseline_static,9922,4377,0.4411408990122959,0.5010426972381126,0.8392965688955691,0.8190955021778847,0.166712555791584,0.49907321105116337,0.05990179822581666,0.8198523720454557,0.8581233025017774,300,0.15644391444752356,0.17815180143536113,300,0.7914041259381114,0.845486465609032,300,0.47180045952165983,0.5266243307983446,300
constant,baseline_always_increase,10429,3811,0.3654233387669,0.43398420271841537,0.5,0.3654233387669,0.23658971431712966,0.666194792140643,0.06856086395151545,0.5,0.5,300,0.23309168031452845,0.24059773730313272,300,0.33892942256317177,0.3957798833444589,300,0.6591576409493283,0.6742579109410306,300
logistic,baseline_always_increase,10429,3811,0.3654233387669,0.43131301442993913,0.8341513753628992,0.7653566218631327,0.16184614762154673,0.4872036312532727,0.06588967566303912,0.8139566696706094,0.8536052209345014,300,0.1526087122829413,0.17164620429262503,300,0.7327610199913686,0.7928362117432792,300,0.4627619286565612,0.5120930457430592,300
logistic_calibrated,baseline_always_increase,10429,3811,0.3654233387669,0.4734998291803076,0.8341513753628992,0.7653566218631327,0.17173279592332352,0.5107501676645673,0.10807649041340761,0.8139566696706094,0.8536052209345014,300,0.16161043009084414,0.181793659218288,300,0.7327610199913686,0.7928362117432792,300,0.484980765495978,0.5372611323085563,300
boosting,baseline_always_increase,10429,3811,0.3654233387669,0.4324322734261245,0.8373949365926234,0.7797404043619287,0.16039608330206462,0.4836769098784957,0.06740215756755907,0.8185759697392928,0.8582289338113233,300,0.14984879828669687,0.16976889367589815,300,0.7486671184752746,0.8065052445010719,300,0.4559965799339714,0.5098290084904212,300
boosting_calibrated,baseline_always_increase,10429,3811,0.3654233387669,0.4862189618182995,0.8373949365926234,0.7797404043619287,0.17309564978478406,0.5149485445698394,0.12079562305139946,0.8185759697392928,0.8582289338113233,300,0.16194563689206062,0.18304373369014165,300,0.7486671184752746,0.8065052445010719,300,0.48605257711364536,0.5417726252305972,300
constant,baseline_always_decrease,8790,4719,0.5368600682593857,0.4339842027184155,0.5,0.5368600682593857,0.2592247790787172,0.7117307625840537,0.10287586554097022,0.5,0.5,300,0.2555934075305613,0.2636890502649489,300,0.5093562608550263,0.570672211489208,300,0.7044253702987847,0.720711736260462,300
logistic,baseline_always_decrease,8790,4719,0.5368600682593857,0.4468921641281553,0.8590307067563047,0.877945595231328,0.16279438950333627,0.4914969213359529,0.08996790413123035,0.8408782395412203,0.8759400553190236,300,0.15311831777851978,0.17223369107295108,300,0.8577200854843336,0.8966243980414752,300,0.4666029808507713,0.5175614729194054,300
logistic_calibrated,baseline_always_decrease,8790,4719,0.5368600682593857,0.49071917644650653,0.8590307067563047,0.877945595231328,0.1553664103077288,0.4726520763156943,0.04616254387135275,0.8408782395412203,0.8759400553190236,300,0.14637064020204488,0.16461530825604495,300,0.8577200854843336,0.8966243980414752,300,0.4493685111025093,0.49769868392497646,300
boosting,baseline_always_decrease,8790,4719,0.5368600682593857,0.44716330533318505,0.8400587078821151,0.8636048425014121,0.172571099715236,0.515784711727034,0.08969676292620059,0.8204920559190746,0.8583971165808671,300,0.16345319576473336,0.18256086964076812,300,0.84091444148938,0.8852362575934308,300,0.4919908051389222,0.5408281797498303,300
boosting_calibrated,baseline_always_decrease,8790,4719,0.5368600682593857,0.5050946964005961,0.8400587078821151,0.8636048425014121,0.16418644250821718,0.49495669001938064,0.038511872429234144,0.8204920559190746,0.8583971165808671,300,0.1555894391678739,0.17344048690058084,300,0.84091444148938,0.8852362575934308,300,0.47304988356279004,0.5172425365589275,300
