policy,policy_seed,scenario,information_set,n_obs,n_defaults,default_rate,mean_predicted_pd,roc_auc,pr_auc,brier,log_loss,ece
PPO,202,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
PPO,303,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
PPO,404,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
PPO,505,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
PPO_without_PD,101,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
PPO_without_PD,202,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
PPO_without_PD,303,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
PPO_without_PD,404,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
PPO_without_PD,505,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
Static,-1,mild_stress,OBSERVABLE_ONLY,2829,1467,0.5185577942735949,0.531098044394363,0.801165033577671,0.8141671024717071,0.18319700393967936,0.5422106847461133,0.03766248545744956
MyopicEconomic,-1,recovery,OBSERVABLE_ONLY,2219,1141,0.5141955835962145,0.6884626039602103,0.8430160049040731,0.8481296359247948,0.19826536819258098,0.5842097723404506,0.17426702036399586
PPO,101,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO,202,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO,303,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO,404,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO,505,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO_without_PD,101,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO_without_PD,202,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO_without_PD,303,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO_without_PD,404,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
PPO_without_PD,505,recovery,OBSERVABLE_ONLY,1765,1315,0.7450424929178471,0.7317107879403466,0.9109167722855936,0.9662711000177702,0.10589580429309074,0.34102880487146564,0.06650342744586676
Static,-1,recovery,OBSERVABLE_ONLY,2108,1194,0.5664136622390892,0.6973007889070671,0.8382576632249503,0.8653623089138053,0.18268535337346126,0.544904589040464,0.13088712666797797
MyopicEconomic,-1,severe_stress,OBSERVABLE_ONLY,2503,1866,0.7455053935277667,0.622021791218336,0.8038038366471991,0.9170965087507695,0.16722293550605705,0.49530576832447276,0.12806077239958352
PPO,101,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO,202,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO,303,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO,404,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO,505,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO_without_PD,101,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO_without_PD,202,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO_without_PD,303,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO_without_PD,404,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
PPO_without_PD,505,severe_stress,OBSERVABLE_ONLY,2048,1821,0.88916015625,0.6312366596353545,0.8322144728534208,0.9734377119728672,0.16891407616520876,0.4989182987815503,0.25792349661464553
Static,-1,severe_stress,OBSERVABLE_ONLY,2354,1901,0.8075615972812235,0.627779102030186,0.845259785427212,0.9558688552067963,0.1551487673471051,0.4608953863275095,0.17978249525103737
