policy,reference,scenario,metric,difference,lower,upper,fraction_customers_positive,information_set
AlwaysDecrease20,Static,mild_stress,defaulted,0.09,0.056666666666666664,0.1384166666666666,0.11,OBSERVABLE_ONLY
AlwaysIncrease,Static,mild_stress,cumulative_reward,-690.1136067373184,-1003.6961682527213,-390.2321907833541,0.4633333333333333,OBSERVABLE_ONLY
AlwaysIncrease,Static,mild_stress,net_economic_value,-341.05495736801123,-491.7995318301564,-182.47805843065302,0.24,OBSERVABLE_ONLY
AlwaysIncrease,Static,mild_stress,credit_loss,403.30443222073586,253.29372999011972,549.8741490275521,0.4866666666666667,OBSERVABLE_ONLY
AlwaysIncrease,Static,mild_stress,defaulted,-0.04666666666666667,-0.07508333333333334,-0.023333333333333334,0.006666666666666667,OBSERVABLE_ONLY
MyopicEconomic,Static,mild_stress,cumulative_reward,129.00885227727687,-144.06320518992484,467.1526242750178,0.65,OBSERVABLE_ONLY
MyopicEconomic,Static,mild_stress,net_economic_value,89.69490795941337,-63.60168921523588,247.5638852933904,0.41,OBSERVABLE_ONLY
MyopicEconomic,Static,mild_stress,credit_loss,-56.26021179958533,-198.59922379227876,84.93549612794119,0.30666666666666664,OBSERVABLE_ONLY
MyopicEconomic,Static,mild_stress,defaulted,-0.06666666666666667,-0.1,-0.03666666666666667,0.006666666666666667,OBSERVABLE_ONLY
PDThreshold,Static,mild_stress,cumulative_reward,1825.6211148948198,1524.761346917374,2162.276623643824,0.8566666666666667,OBSERVABLE_ONLY
PDThreshold,Static,mild_stress,net_economic_value,495.74617832026325,344.98188379302303,640.3369394407865,0.67,OBSERVABLE_ONLY
PDThreshold,Static,mild_stress,credit_loss,-672.9028937240276,-813.4186172747602,-530.9163817786005,0.06666666666666667,OBSERVABLE_ONLY
PDThreshold,Static,mild_stress,defaulted,0.02,-0.006666666666666667,0.04666666666666667,0.04,OBSERVABLE_ONLY
PPO,Static,mild_stress,cumulative_reward,3229.3173230445045,2840.085622090283,3638.6779908306175,0.8466666666666667,OBSERVABLE_ONLY
PPO,Static,mild_stress,net_economic_value,727.5539603625186,507.2513592341915,913.8574721369525,0.68,OBSERVABLE_ONLY
PPO,Static,mild_stress,credit_loss,-1183.969231866198,-1355.3242981744504,-1019.3687635725897,0.12333333333333334,OBSERVABLE_ONLY
PPO,Static,mild_stress,defaulted,0.09,0.05333333333333334,0.13333333333333333,0.11,OBSERVABLE_ONLY
PPO_without_PD,Static,mild_stress,cumulative_reward,3229.3173230445045,2840.085622090283,3638.6779908306175,0.8466666666666667,OBSERVABLE_ONLY
PPO_without_PD,Static,mild_stress,net_economic_value,727.5539603625186,507.2513592341915,913.8574721369525,0.68,OBSERVABLE_ONLY
PPO_without_PD,Static,mild_stress,credit_loss,-1183.969231866198,-1355.3242981744504,-1019.3687635725897,0.12333333333333334,OBSERVABLE_ONLY
PPO_without_PD,Static,mild_stress,defaulted,0.09,0.05333333333333334,0.13333333333333333,0.11,OBSERVABLE_ONLY
Random,Static,mild_stress,cumulative_reward,621.826472402483,364.6912769955451,901.1952745755286,0.6333333333333333,OBSERVABLE_ONLY
Random,Static,mild_stress,net_economic_value,134.35901432807566,-2.6094445527011203,279.05160108754154,0.5566666666666666,OBSERVABLE_ONLY
Random,Static,mild_stress,credit_loss,-197.6876646851371,-335.0173797553345,-72.32336362929681,0.26,OBSERVABLE_ONLY
Random,Static,mild_stress,defaulted,0.006666666666666667,-0.02,0.03333333333333333,0.03333333333333333,OBSERVABLE_ONLY
SIMULATOR_ONLY_ORACLE_Myopic,Static,mild_stress,cumulative_reward,699.0553162177898,397.13967918882133,1045.1366785515027,0.6633333333333333,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,Static,mild_stress,net_economic_value,225.7043559632525,75.70644353364868,413.37728881471065,0.41333333333333333,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,Static,mild_stress,credit_loss,-258.5815003677556,-433.6651238779418,-109.6443512296484,0.30333333333333334,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,Static,mild_stress,defaulted,-0.07,-0.10508333333333333,-0.04,0.006666666666666667,SIMULATOR_ONLY_ORACLE
UtilizationPD,Static,mild_stress,cumulative_reward,1812.7200231741547,1519.3095544853468,2157.6854125766054,0.7466666666666667,OBSERVABLE_ONLY
UtilizationPD,Static,mild_stress,net_economic_value,489.3531543945634,342.1698010690055,636.8975305777769,0.6866666666666666,OBSERVABLE_ONLY
UtilizationPD,Static,mild_stress,credit_loss,-665.5225505197957,-804.6312625015597,-529.0494846556293,0.06666666666666667,OBSERVABLE_ONLY
UtilizationPD,Static,mild_stress,defaulted,0.023333333333333334,-0.0017499999999999983,0.05174999999999993,0.04,OBSERVABLE_ONLY
AlwaysDecrease,MyopicEconomic,mild_stress,cumulative_reward,2188.107860654468,1795.563410712413,2596.510992517633,0.6833333333333333,OBSERVABLE_ONLY
AlwaysDecrease,MyopicEconomic,mild_stress,net_economic_value,495.47712056604513,298.3560259454313,666.9084817240158,0.55,OBSERVABLE_ONLY
AlwaysDecrease,MyopicEconomic,mild_stress,credit_loss,-820.7585725848193,-992.2288070560493,-631.1712847274706,0.18333333333333332,OBSERVABLE_ONLY
AlwaysDecrease,MyopicEconomic,mild_stress,defaulted,0.09666666666666666,0.06333333333333334,0.13666666666666666,0.10666666666666667,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,mild_stress,cumulative_reward,3100.3084707672274,2706.988058462033,3552.4971624322366,0.77,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,mild_stress,net_economic_value,637.8590524031054,423.76811921463286,840.8724797949462,0.57,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,mild_stress,credit_loss,-1127.7090200666125,-1329.6130483810575,-931.1466664905424,0.17666666666666667,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,mild_stress,defaulted,0.15666666666666668,0.11666666666666667,0.2,0.16333333333333333,OBSERVABLE_ONLY
AlwaysIncrease,MyopicEconomic,mild_stress,cumulative_reward,-819.1224590145953,-1076.7026700561314,-558.6626618855984,0.25333333333333335,OBSERVABLE_ONLY
AlwaysIncrease,MyopicEconomic,mild_stress,net_economic_value,-430.74986532742463,-555.3523406472015,-307.954264672505,0.4,OBSERVABLE_ONLY
AlwaysIncrease,MyopicEconomic,mild_stress,credit_loss,459.5646440203212,336.24084333661193,589.3889035359243,0.4766666666666667,OBSERVABLE_ONLY
AlwaysIncrease,MyopicEconomic,mild_stress,defaulted,0.02,0.0033333333333333335,0.04,0.02666666666666667,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,mild_stress,cumulative_reward,1696.6122626175431,1332.272227424043,2037.9888463099635,0.6233333333333333,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,mild_stress,net_economic_value,406.0512703608499,208.19850098771892,558.1115898192004,0.66,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,mild_stress,credit_loss,-616.6426819244423,-782.2277314746337,-432.03145186131115,0.21666666666666667,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,mild_stress,defaulted,0.08666666666666667,0.056666666666666664,0.12333333333333334,0.09,OBSERVABLE_ONLY
PPO,MyopicEconomic,mild_stress,cumulative_reward,3100.3084707672274,2638.172171854405,3566.261257193028,0.77,OBSERVABLE_ONLY
