policy,scenario,information_set,unique_customers,training_seeds,episodes,customer_months,cumulative_reward,discounted_reward,net_economic_value,revenue,credit_loss,funding_cost,capital_charge,constraint_penalty,mean_balance,mean_limit,mean_utilization,limit_changes,reversals,default_rate,ever_delinquent_rate,delinquent_month_rate,credit_loss_rate,mean_exposure_at_default,mean_predicted_pd,high_risk_exposure_share,increase_fraction,decrease_fraction,no_change_fraction,requested_change,effective_change,mean_absolute_change,delinquent_increase_fraction,severe_delinquent_increases,blocked_fraction,mean_limit_growth,cumulative_reward_lower,cumulative_reward_upper,cumulative_reward_seed_sd,net_economic_value_lower,net_economic_value_upper,net_economic_value_seed_sd,credit_loss_lower,credit_loss_upper,credit_loss_seed_sd,defaulted_lower,defaulted_upper,defaulted_seed_sd,default_alert,loss_alert,high_risk_exposure_alert
MyopicEconomic,recovery,OBSERVABLE_ONLY,300,1,300,3129,-5438.943053228704,-4856.520850182832,-1943.8663272273711,634.498130140482,2475.7803220617184,102.58413530613458,3375.3446080122867,119.73211798904585,4386.695993585709,10350.856707150135,0.47140213408472165,5.006666666666667,0.9033333333333333,0.7466666666666667,0.7866666666666666,0.22051773729626079,0.9003873173667258,6028.685849176261,0.5660142408173161,0.6908424498753354,0.3828699264940876,0.09715564077980185,0.5199744327261105,0.054522211569191424,0.0514331776948484,0.08499022467471418,0.07158836689038031,0,0.0,0.7624087384028525,-6026.793821729533,-4975.88956133649,0.0,-2201.017667773784,-1689.7251411380223,0.0,2234.768663375719,2732.291960238656,0.0,0.6915833333333333,0.7966666666666666,0.0,False,True,True
MyopicEconomic,severe_stress,OBSERVABLE_ONLY,300,1,300,3021,-5944.558008202977,-5176.128671729689,-2430.5598213305507,596.6799296241112,2926.816034170352,100.4237167843097,3389.6088682603126,124.38931861211415,4445.019785883853,10290.866201688992,0.4952447132007473,5.846666666666667,1.2033333333333334,0.8733333333333333,0.8366666666666667,0.26150281363786826,1.0644191707760362,6093.301944837652,0.6097419182608179,0.6708392659952954,0.44654088050314467,0.13406156901688182,0.4193975504799735,0.0602780536246276,0.05713034334540887,0.10393603682438933,0.07116848725587553,0,0.0,0.8319094633790317,-6401.987444860849,-5507.683447273511,0.0,-2646.6884257518636,-2221.3205785978726,0.0,2710.841035910951,3133.793792881584,0.0,0.8349166666666666,0.9133333333333333,0.0,True,True,True
PDThreshold,baseline,OBSERVABLE_ONLY,300,1,300,4219,-3679.5021388324994,-3239.1614301750756,-827.9712688944412,802.6622639334576,1511.5045967902552,119.12893603764373,2741.555196761822,109.97567317623592,3841.9812675963767,6429.2694079662615,0.7478625392715142,7.206666666666667,0.16,0.64,0.7533333333333333,0.16544204787864422,0.5497012626540804,4294.047149972316,0.41524068439071743,0.35325561986113174,0.11780042664138421,0.3946432803981986,0.48755629296041714,-0.027684285375681423,-0.02821122223215656,0.050712336319122864,0.00023702299123014932,0,0.0,-0.15606716057990566,-4015.8740712555577,-3386.967414355992,0.0,-1023.1534336389932,-619.675214202698,0.0,1335.4141723413566,1688.7382430299615,0.0,0.5849166666666666,0.6933333333333334,0.0,False,False,False
PDThreshold,baseline_biased_pd,OBSERVABLE_ONLY,300,1,300,4339,-5561.210971799724,-4717.63210341879,-1375.9478865625338,1013.7936530417635,2235.2835616798784,154.45797792441851,4066.353446948511,118.90963828867969,4658.656777232735,8424.947095052195,0.631778973196255,2.03,0.0,0.6333333333333333,0.7433333333333333,0.15833141276791887,0.8129238897814914,6417.081995253239,0.43134942505723756,0.4807811773718953,0.14035492048859183,0.0,0.8596450795114081,0.014035492048859195,0.01324464912693818,0.01324464912693818,0.0006914035492048859,0,0.0,0.3003909066096146,-6172.947407181586,-5040.071479874593,0.0,-1620.2011932540886,-1097.1167981960907,0.0,1971.699066785395,2489.7081143628707,0.0,0.5766666666666667,0.6833333333333333,0.0,False,True,False
PDThreshold,mild_stress,OBSERVABLE_ONLY,300,1,300,3779,-3923.798540046859,-3478.785197344392,-1119.5376342182835,696.3227929331039,1709.7705111956398,106.0899159557477,2693.141266631112,111.11963919746321,3869.7178920709266,6231.759761026494,0.7618128368140915,7.033333333333333,0.15,0.7166666666666667,0.7866666666666666,0.19264355649642761,0.6218062524247661,4337.684172166528,0.45866215231034285,0.4325974003657331,0.10346652553585604,0.45488224397988886,0.4416512304842551,-0.03514157184440326,-0.03558623161912902,0.05534167686028393,0.0002646202699126753,0,0.0,-0.21764304962616782,-4247.2347259712005,-3623.0826498266406,0.0,-1312.8851269433387,-922.2831368533059,0.0,1545.1625993472155,1881.8297685170899,0.0,0.67,0.7684166666666666,0.0,False,False,False
PDThreshold,oot_markov,OBSERVABLE_ONLY,300,1,300,4298,-3335.67674933082,-2912.424622612705,-744.099418058919,720.9922983487355,1357.898149271727,107.19356713592742,2472.632481332877,118.94484993902329,3333.2406870486357,5746.034933922203,0.7499607671292741,7.696666666666666,0.12333333333333334,0.67,0.76,0.1665891112145184,0.5668346020365934,3684.9339193262604,0.43602248098097535,0.37414328222622334,0.10725919032107957,0.42996742671009774,0.4627733829688227,-0.0322708236389018,-0.03271871188367721,0.05305211566219873,0.0,0,0.0,-0.19986146078032416,-3605.8938092307403,-3033.193744456363,0.0,-925.8311204344435,-567.390263494572,0.0,1208.2909936407118,1500.5067764722514,0.0,0.61825,0.7266666666666667,0.0,False,False,False
PDThreshold,recovery,OBSERVABLE_ONLY,300,1,300,2676,-3997.8504629792537,-3699.4165295504476,-1576.09432045485,433.4675123828285,1938.1572553330443,71.4045775046343,2316.3737702135286,105.3823723108759,3805.4919146844745,5474.518582705213,0.7807982451489642,6.623333333333333,0.14333333333333334,0.82,0.81,0.26756352765321373,0.7048655311675398,4297.466198077704,0.5790719203889881,0.6898107841582923,0.11584454409566518,0.6266816143497758,0.25747384155455905,-0.05108370702541103,-0.05136092264253906,0.0739092757907757,0.0003736920777279522,0,0.0,-0.30150145865216155,-4328.726006440877,-3726.1115136384637,0.0,-1773.5580065768424,-1402.0970010895232,0.0,1792.0204381257868,2116.1554185063287,0.0,0.7766666666666666,0.8650833333333332,0.0,True,True,True
PDThreshold,severe_stress,OBSERVABLE_ONLY,300,1,300,2614,-4454.661854932071,-3990.074754706739,-1886.6577440304357,458.7723347604524,2268.3475433471917,77.08253544369606,2461.710913047522,106.29319785411305,4015.5445393006394,5924.337588353293,0.7686312020968799,5.846666666666667,0.14333333333333334,0.92,0.8466666666666667,0.28309104820198927,0.8249485389353807,4482.900283294845,0.6034476154198929,0.6203108344512135,0.04246365723029839,0.6285386381025249,0.32899770466717676,-0.05860749808722263,-0.05872745550025374,0.06697529567139245,0.0,0,0.0,-0.3742174313386281,-4763.545705667768,-4190.5322043834885,0.0,-2067.4776548622117,-1735.19908849157,0.0,2108.159878395838,2443.960838575915,0.0,0.89,0.9484166666666666,0.0,True,True,True
PPO,baseline,OBSERVABLE_ONLY,300,5,1500,18580,-2363.5262721359686,-2179.1441725729433,-779.4278188459028,385.2934883653278,1105.8893872250517,58.83191998617904,1494.1440137220688,89.9544395679964,2663.905498272022,2794.780922950109,1.0981219460698393,8.49,0.0,0.7133333333333334,0.8166666666666667,0.18729817007534985,0.40218785560049125,2818.7495001488146,0.3942240858022849,0.42627987697858655,0.0,0.6854144241119483,0.3145855758880517,-0.19999999999999996,-0.1337633763415582,0.1337633763415582,0.0,0,0.0,-0.7740089821486578,-2580.8138357264183,-2166.5281040565233,0.0,-923.555547335823,-646.307864476379,0.0,989.8949527686785,1247.6256852884724,0.0,0.6666666666666666,0.7633333333333333,0.0,False,False,False
PPO,baseline_biased_pd,OBSERVABLE_ONLY,300,5,1500,18580,-2363.5262721359686,-2179.1441725729433,-779.4278188459028,385.2934883653278,1105.8893872250517,58.83191998617904,1494.1440137220688,89.9544395679964,2663.905498272022,2794.780922950109,1.0981219460698393,8.49,0.0,0.7133333333333334,0.8166666666666667,0.18729817007534985,0.40218785560049125,2818.7495001488146,0.3942240858022849,0.42627987697858655,0.0,0.6854144241119483,0.3145855758880517,-0.19999999999999996,-0.1337633763415582,0.1337633763415582,0.0,0,0.0,-0.7740089821486578,-2580.8138357264183,-2166.5281040565233,0.0,-923.555547335823,-646.307864476379,0.0,989.8949527686785,1247.6256852884724,0.0,0.6666666666666666,0.7633333333333333,0.0,False,False,False
PPO,mild_stress,OBSERVABLE_ONLY,300,5,1500,16675,-2520.1023318971747,-2315.0854138127015,-887.7298521760283,368.24923344339726,1198.7041730534695,57.27491256595603,1536.9771327268645,95.39534699428147,2785.5961981664946,2921.602731420815,1.107649852404158,8.18,0.0,0.7866666666666666,0.8266666666666667,0.22038980509745126,0.4359425693282519,2770.5027112175717,0.4501543966804657,0.4649976866246712,0.0,0.735832083958021,0.26416791604197903,-0.19999999999999998,-0.14427244849534132,0.14427244849534132,0.0,0,0.0,-0.7680922563932795,-2730.320250438793,-2332.0054915881183,0.0,-1020.8348645287329,-761.2775972945162,0.0,1078.6189812210048,1332.7440161220907,0.0,0.73825,0.84,0.0,True,False,False
