model,sample,n_obs,n_defaults,default_rate,mean_predicted_pd,roc_auc,pr_auc,brier,log_loss,ece,roc_auc_lower,roc_auc_upper,roc_auc_bootstrap_valid,brier_lower,brier_upper,brier_bootstrap_valid,pr_auc_lower,pr_auc_upper,pr_auc_bootstrap_valid,log_loss_lower,log_loss_upper,log_loss_bootstrap_valid
logistic,baseline_behavior,9891,4306,0.4353452633707411,0.44069440958054806,0.8271970862833854,0.8012237349203826,0.1672128958198469,0.4997365258126423,0.02487529282308156,0.8059293224392285,0.8415721658940638,200,0.16002424579239877,0.17766511361509862,200,0.7692088621867562,0.822149729796645,200,0.4820802208178157,0.5257172564878951,200
logistic_calibrated,baseline_behavior,9891,4306,0.4353452633707411,0.48395223861845027,0.8271970862833854,0.8012237349203826,0.17098211943057126,0.5072870465662138,0.053352518095230464,0.8059293224392285,0.8415721658940638,200,0.1634324031100605,0.1815433488039198,200,0.7692088621867562,0.822149729796645,200,0.4874226844382795,0.533118298935461,200
boosting,baseline_behavior,9891,4306,0.4353452633707411,0.4417483850215447,0.835387423432399,0.8138254957687049,0.1632439626825127,0.49244102602518297,0.030303473803793446,0.8169151283449855,0.8531879424413092,200,0.15432546580480547,0.1741357697230522,200,0.7869771712802642,0.8359250837941997,200,0.46887939980697685,0.5194472706989571,200
boosting_calibrated,baseline_behavior,9891,4306,0.4353452633707411,0.49513750977538085,0.835387423432399,0.8138254957687049,0.1679287542700757,0.5029114074549498,0.06114185221156227,0.8169151283449855,0.8531879424413092,200,0.1581718800526858,0.1785055149055673,200,0.7869771712802642,0.8359250837941997,200,0.478209031852524,0.527989516958348,200
constant,mild_stress_behavior,9439,5010,0.5307765653141222,0.4339842027184154,0.5,0.5307765653141222,0.25842156448432435,0.7101148999207377,0.09679236259570673,0.5,0.5,200,0.25464577154704143,0.26238298290875217,200,0.5021789182905047,0.5607801295180864,200,0.7025189686785029,0.7180842622436964,200
logistic,mild_stress_behavior,9439,5010,0.5307765653141222,0.4862947353183673,0.8278387906958717,0.8432032211516552,0.17092155762664307,0.5085495456983237,0.04448182999575497,0.8110249599692771,0.8449231610098576,200,0.1634120173235657,0.17934895749348995,200,0.8183694384843192,0.860723394181583,200,0.4892723180865498,0.5291104814089304,200
logistic_calibrated,mild_stress_behavior,9439,5010,0.5307765653141222,0.5306148465846365,0.8278387906958717,0.8432032211516552,0.16855779100583626,0.5029248247548028,0.021510818624949798,0.8110249599692771,0.8449231610098576,200,0.1599857476769642,0.1772754404091786,200,0.8183694384843192,0.860723394181583,200,0.4824999169104601,0.524922180202329,200
boosting,mild_stress_behavior,9439,5010,0.5307765653141222,0.4610329747286061,0.8429536501618574,0.8593720728193737,0.16785220810513257,0.5038667475546135,0.06974359058551613,0.8270733062683724,0.8607598821448018,200,0.15994901757985175,0.17881138364833513,200,0.8361889436467795,0.8778687353237178,200,0.48029534960038484,0.5311636105573189,200
boosting_calibrated,mild_stress_behavior,9439,5010,0.5307765653141222,0.5143273977295594,0.8429536501618574,0.8593720728193737,0.16187262765817545,0.4883897164184266,0.023431186390416248,0.8270733062683724,0.8607598821448018,200,0.15293693667156844,0.17036167447861972,200,0.8361889436467795,0.8778687353237178,200,0.4632774616476545,0.5110649861081586,200
constant,severe_stress_behavior,7896,6062,0.7677304964539007,0.43398420271841537,0.5,0.7677304964539007,0.2897069698507206,0.7730531467991806,0.3337462937354852,0.5,0.5,200,0.28532584163681596,0.293631859561836,200,0.7345480735012752,0.797457394202133,200,0.7642394355525615,0.7809490226785505,200
