world_id,world_kind,signal,policy,information_set,episodes,customer_months,cumulative_reward,discounted_reward,net_economic_value,revenue,credit_loss,funding_cost,capital_charge,constraint_penalty,mean_balance,mean_limit,mean_utilization,limit_changes,reversals,default_rate,ever_delinquent_rate,delinquent_month_rate,credit_loss_rate,mean_exposure_at_default,mean_predicted_pd,high_risk_exposure_share,increase_fraction,decrease_fraction,no_change_fraction,requested_change,effective_change,mean_absolute_change,delinquent_increase_fraction,severe_delinquent_increases,blocked_fraction,mean_limit_growth
random_023,randomized,identity,UtilizationPD,OBSERVABLE_ONLY,64.0,785.0,-4002.4839432325184,-3400.401929277295,-1295.467394299631,708.9552729755435,1895.5829850352043,108.8396822399705,2596.438950382322,110.57759855056577,3769.3144685201064,5514.925817044328,0.7624632903516518,5.6875,0.0,0.890625,0.84375,0.1859872611464968,0.6689847355491948,3869.7706871532077,0.46716158186488593,0.3701196555013847,0.0,0.4636942675159236,0.5363057324840764,-0.04636942675159235,-0.04636942675159235,0.04636942675159235,0.0,0.0,0.0,-0.40291152679296316
random_024,randomized,identity,AlwaysDecrease,OBSERVABLE_ONLY,64.0,777.0,-2955.324812488502,-2629.3128380646767,-881.2730811638789,575.5746710319207,1369.9572691334588,86.89048306234093,1974.6606377862954,99.39109353832755,3170.080996604779,3769.6015563943465,0.9067830710247238,11.953125,0.0,0.765625,0.890625,0.23166023166023167,0.4834821311650058,3253.3308061054304,0.4369613362315686,0.2932149636298338,0.0,0.9845559845559846,0.015444015444015444,-0.09845559845559845,-0.09833468398272678,0.09833468398272678,0.0,0.0,0.0,-0.6297987673860518
random_024,randomized,identity,AlwaysDecrease20,OBSERVABLE_ONLY,64.0,716.0,-2044.5394846241575,-1871.8518801367186,-711.0252863099684,367.8302730803776,1023.5806036931565,55.2749556971893,1251.0596669853394,82.45453132884961,2452.233932598974,2594.683529042772,1.0781599586085435,8.375,0.0,0.796875,0.90625,0.2360335195530726,0.36123968450910854,2335.4423756278793,0.4024965361010251,0.28852614628702833,0.0,0.7486033519553073,0.25139664804469275,-0.1497206703910614,-0.14609862220956274,0.14609862220956274,0.0,0.0,0.0,-0.777273685656215
random_024,randomized,identity,AlwaysIncrease,OBSERVABLE_ONLY,64.0,938.0,-6192.677366915995,-5136.737450640161,-1615.2205285093337,1108.0823691765838,2553.4346831085513,169.86821457736588,4449.94762927386,127.50920913280129,4796.987511805317,10804.938241912008,0.48214101460628145,6.6875,0.0,0.625,0.796875,0.17057569296375266,0.9011522258361017,7428.173623588513,0.4534991028321357,0.4559873910747314,0.4562899786780384,0.0,0.5437100213219617,0.04562899786780388,0.04353361665383135,0.04353361665383135,0.06716417910447761,0.0,0.0,0.9564187063434408
random_024,randomized,identity,MyopicEconomic,OBSERVABLE_ONLY,64.0,963.0,-5585.401591903016,-4587.167761778721,-1264.5962186688455,1084.874538947347,2184.7530149915865,164.71774262460565,4193.694665917001,127.11070731716914,4389.696992305551,10735.788626601181,0.48097677869139677,6.375,1.359375,0.625,0.828125,0.17653167185877466,0.7710379495452733,6355.645134520979,0.4433206618845884,0.444671082841017,0.3291796469366563,0.09449636552440291,0.5763239875389408,0.04548286604361371,0.042689150526446694,0.0763340103395308,0.05192107995846314,0.0,0.0,0.9569606000298279
random_024,randomized,identity,PDThreshold,OBSERVABLE_ONLY,64.0,818.0,-3674.345938167544,-3196.351577670108,-1040.0790474543176,753.850953681469,1680.700431976888,113.22956915889874,2530.5333817115575,103.73350900166834,3716.5905342305414,6214.846021062636,0.7443620308510304,6.84375,0.125,0.71875,0.84375,0.2078239608801956,0.5931488850131214,4251.574215277503,0.4281089992916714,0.32670676539061305,0.10880195599022005,0.42665036674816625,0.46454767726161367,-0.0317848410757946,-0.032499842619670656,0.05278797343183946,0.0,0.0,0.0,-0.1750582820501525
random_024,randomized,identity,PPO,OBSERVABLE_ONLY,64.0,716.0,-2044.5394846241575,-1871.8518801367186,-711.0252863099684,367.8302730803776,1023.5806036931565,55.2749556971893,1251.0596669853394,82.45453132884961,2452.233932598974,2594.683529042772,1.0781599586085435,8.375,0.0,0.796875,0.90625,0.23603351955307258,0.36123968450910854,2335.4423756278793,0.4024965361010251,0.28852614628702833,0.0,0.7486033519553073,0.25139664804469275,-0.19999999999999998,-0.14609862220956274,0.14609862220956274,0.0,0.0,0.0,-0.777273685656215
random_024,randomized,identity,PPO_without_PD,OBSERVABLE_ONLY,64.0,716.0,-2044.5394846241575,-1871.8518801367186,-711.0252863099684,367.8302730803776,1023.5806036931565,55.2749556971893,1251.0596669853394,82.45453132884961,2452.233932598974,2594.683529042772,1.0781599586085435,8.375,0.0,0.796875,0.90625,0.23603351955307258,0.36123968450910854,2335.4423756278793,0.4024965361010251,0.28852614628702833,0.0,0.7486033519553073,0.25139664804469275,-0.19999999999999998,-0.14609862220956274,0.14609862220956274,0.0,0.0,0.0,-0.777273685656215
random_024,randomized,identity,Random,OBSERVABLE_ONLY,64.0,867.0,-4821.093572814197,-4050.5215888540283,-1245.123161001102,912.8132511420476,2018.398134201996,139.53827794115352,3460.415768071358,115.55464374173674,4207.295523709522,6466.230294463674,0.7129371311035544,10.671875,4.734375,0.703125,0.875,0.20069204152249134,0.7123283721693848,5219.292145007182,0.4463980959223912,0.40547466630219775,0.3760092272202999,0.4117647058823529,0.2122260668973472,-0.007497116493656263,-0.00862070801698245,0.11825357110643159,0.05536332179930796,0.0,0.0,-0.12850374455235303
random_024,randomized,identity,SIMULATOR_ONLY_ORACLE_Myopic,SIMULATOR_ONLY_ORACLE,64.0,901.0,-4083.5071328565764,-3447.327089963869,-1107.046464742058,808.9762175932738,1794.0444015318408,121.97828080349085,2866.5605962129416,109.90007190157704,3666.0889499022405,7550.500914340374,0.6258124611663215,8.6875,2.015625,0.65625,0.8125,0.17758046614872364,0.6331499749666736,4970.512627620684,0.41732811030702605,0.35958772015318474,0.3129855715871254,0.30410654827968925,0.38290788013318533,0.004217536071032191,0.00284890040886526,0.10605903242034402,0.05993340732519423,0.0,0.0,0.39053579598032084
