world_id,policy,parameter,endpoint,parameter_value,value,delta_static,delta_myopic
oat_default_debt_to_income_low,UtilizationPD,default.debt_to_income,low,0.3,-1005.4104428824352,667.3407047279117,555.0632268367129
oat_default_intercept_high,AlwaysDecrease,default.intercept,high,-5.65,-1031.4696741213102,821.9872763999424,549.9072315688327
oat_default_intercept_high,AlwaysDecrease20,default.intercept,high,-5.65,-823.1148164454353,1030.3421340758173,758.2620892447076
oat_default_intercept_high,AlwaysIncrease,default.intercept,high,-5.65,-2109.0374364632635,-255.5804859420109,-527.6605307731206
oat_default_intercept_high,MyopicEconomic,default.intercept,high,-5.65,-1581.3769056901428,272.0800448311097,0.0
oat_default_intercept_high,PDThreshold,default.intercept,high,-5.65,-1244.1029809842148,609.3539695370378,337.27392470592804
oat_default_intercept_high,PPO,default.intercept,high,-5.65,-823.1148164454353,1030.3421340758173,758.2620892447076
oat_default_intercept_high,PPO_without_PD,default.intercept,high,-5.65,-823.1148164454353,1030.3421340758173,758.2620892447076
oat_default_intercept_high,Random,default.intercept,high,-5.65,-1646.9533856036144,206.5035649176382,-65.57647991347153
oat_default_intercept_high,SIMULATOR_ONLY_ORACLE_Myopic,default.intercept,high,-5.65,-1647.1222625656264,206.33468795562612,-65.7453568754836
oat_default_intercept_high,Static,default.intercept,high,-5.65,-1853.4569505212526,0.0,-272.0800448311097
oat_default_intercept_high,UtilizationPD,default.intercept,high,-5.65,-1230.8593236235329,622.5976268977197,350.51758206661
oat_default_intercept_low,AlwaysDecrease,default.intercept,low,-6.35,-831.141982198307,819.471084796085,705.3779926794002
oat_default_intercept_low,AlwaysDecrease20,default.intercept,low,-6.35,-734.2815994022646,916.3314675921274,802.2383754754426
oat_default_intercept_low,AlwaysIncrease,default.intercept,low,-6.35,-1960.7685806074921,-310.1555136131001,-424.2486057297849
oat_default_intercept_low,MyopicEconomic,default.intercept,low,-6.35,-1536.5199748777072,114.09309211668483,0.0
oat_default_intercept_low,PDThreshold,default.intercept,low,-6.35,-966.1241717452447,684.4888952491474,570.3958031324626
oat_default_intercept_low,PPO,default.intercept,low,-6.35,-734.2815994022646,916.3314675921274,802.2383754754426
oat_default_intercept_low,PPO_without_PD,default.intercept,low,-6.35,-734.2815994022646,916.3314675921274,802.2383754754426
oat_default_intercept_low,Random,default.intercept,low,-6.35,-1540.5388575483228,110.07420944606929,-4.01888267061554
oat_default_intercept_low,SIMULATOR_ONLY_ORACLE_Myopic,default.intercept,low,-6.35,-1210.5728932136635,440.04017378072854,325.9470816640437
oat_default_intercept_low,Static,default.intercept,low,-6.35,-1650.613066994392,0.0,-114.09309211668483
oat_default_intercept_low,UtilizationPD,default.intercept,low,-6.35,-952.7052057149863,697.9078612794058,583.814769162721
oat_default_months_delinquent_high,AlwaysDecrease,default.months_delinquent,high,0.85,-889.37914998577,969.9075898662754,691.6428637606941
oat_default_months_delinquent_high,AlwaysDecrease20,default.months_delinquent,high,0.85,-817.4835213263965,1041.8032185256488,763.5384924200677
oat_default_months_delinquent_high,AlwaysIncrease,default.months_delinquent,high,0.85,-2129.7555229808977,-270.46878312885224,-548.7335092344335
oat_default_months_delinquent_high,MyopicEconomic,default.months_delinquent,high,0.85,-1581.0220137464642,278.2647261055813,0.0
oat_default_months_delinquent_high,PDThreshold,default.months_delinquent,high,0.85,-1083.0345427315137,776.2521971205317,497.9874710149504
oat_default_months_delinquent_high,PPO,default.months_delinquent,high,0.85,-817.4835213263965,1041.8032185256488,763.5384924200677
oat_default_months_delinquent_high,PPO_without_PD,default.months_delinquent,high,0.85,-817.4835213263965,1041.8032185256488,763.5384924200677
oat_default_months_delinquent_high,Random,default.months_delinquent,high,0.85,-1605.9609242618794,253.32581559016603,-24.938910515415273
