policy,reference,metric,difference,lower,upper
UtilizationPD,AlwaysDecrease20,defaulted,-0.04833984375,-0.08692626953125,-0.01756591796875001
UtilizationPD,AlwaysIncrease,net_economic_value,812.1172548774141,454.9725446929644,1208.0172765336451
UtilizationPD,AlwaysIncrease,credit_loss,-1060.8012128511482,-1452.2840694977983,-708.2850256176844
UtilizationPD,AlwaysIncrease,defaulted,0.083984375,0.0448974609375,0.13184814453125
UtilizationPD,MyopicEconomic,net_economic_value,415.55067345293514,89.26948333680262,750.2435062208208
UtilizationPD,MyopicEconomic,credit_loss,-641.1303459522951,-972.4667980187229,-317.39930133513104
UtilizationPD,MyopicEconomic,defaulted,0.09423828125,0.05517578125,0.142578125
UtilizationPD,PDThreshold,net_economic_value,-12.705639727889668,-41.215159107826416,7.2001148228199785
UtilizationPD,PDThreshold,credit_loss,9.109356603141926,-10.862176515502693,34.69554142978178
UtilizationPD,PDThreshold,defaulted,0.0078125,0.0014526367187500007,0.0166015625
UtilizationPD,PPO,net_economic_value,-361.09262859784354,-550.5152978248399,-192.87963828787417
UtilizationPD,PPO,credit_loss,652.2929494207733,474.80206000402035,832.7516095892894
UtilizationPD,PPO,defaulted,-0.04833984375,-0.0815673828125,-0.015625
UtilizationPD,PPO_without_PD,net_economic_value,-361.09262859784354,-550.5152978248399,-192.87963828787417
UtilizationPD,PPO_without_PD,credit_loss,652.2929494207733,474.80206000402035,832.7516095892894
UtilizationPD,PPO_without_PD,defaulted,-0.04833984375,-0.0815673828125,-0.015625
UtilizationPD,Random,net_economic_value,460.3544138065249,252.41480432156692,715.8457080498895
UtilizationPD,Random,credit_loss,-558.5850388591725,-814.4283399015713,-335.41566231604594
UtilizationPD,Random,defaulted,0.0048828125,-0.0190673828125,0.03173828125
UtilizationPD,Static,net_economic_value,612.3932744442511,446.90551698735453,798.7641859400504
UtilizationPD,Static,credit_loss,-746.8872583497223,-929.0613639909014,-577.9396344661487
UtilizationPD,Static,defaulted,0.009765625,-0.01026611328125,0.02833251953124999
