policy,policy_seed,customer_id,feature,direction,action_changed,absolute_action_jump
PPO,505,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO,505,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000001,pd,-1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000001,pd,1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000001,income,-1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000001,income,1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000001,pd,-1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000001,pd,1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000001,income,-1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000001,income,1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000001,pd,-1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000001,pd,1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000001,income,-1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000001,income,1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000001,pd,-1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000001,pd,1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000001,income,-1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000001,income,1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000001,pd,-1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000001,pd,1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000001,income,-1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000001,income,1,0,0.0
