customer_id,net_economic_value_ppo,reward_ppo,net_economic_value_myopic,reward_myopic,immediate_reward_gap,total_value_gap,lower_immediate_higher_total,world_id,policy_seed
ROBUST_TEST_000053,111.1724340762736,-71.64050938868148,-319.19708157275056,-73.57204614995076,1.9315367612692853,430.36951564902415,False,macro_unexpected,101
ROBUST_TEST_000054,365.316749753591,-53.24372247901295,674.0462003660424,-54.29374643105087,1.0500239520379182,-308.7294506124514,False,macro_unexpected,101
ROBUST_TEST_000055,953.1723802480548,-301.8956952847438,2145.4094351234853,-301.8956952847438,0.0,-1192.2370548754307,False,macro_unexpected,101
ROBUST_TEST_000056,-170.21033204946264,-85.70258063305175,-1853.8428393588224,-86.55115689843223,0.8485762653804727,1683.6325073093599,False,macro_unexpected,101
ROBUST_TEST_000057,-1194.9458087476612,-107.919768232091,-1579.011257811306,-107.919768232091,0.0,384.0654490636448,False,macro_unexpected,101
ROBUST_TEST_000058,9.893664519431148,-147.40994262352567,-1433.8717021935392,-147.40994262352567,0.0,1443.7653667129705,False,macro_unexpected,101
ROBUST_TEST_000059,357.06170954354803,-106.30323901352985,683.0237483584133,-107.58143678800128,1.2781977744714368,-325.96203881486525,False,macro_unexpected,101
ROBUST_TEST_000060,-2367.6395846341265,-94.04578653702264,-4733.436353290253,-95.31544718047918,1.2696606434565467,2365.796768656126,False,macro_unexpected,101
ROBUST_TEST_000061,277.1616470553495,-1.617678860980013,491.1733220719282,-1.7891688956972291,0.17149003471721613,-214.01167501657875,False,macro_unexpected,101
ROBUST_TEST_000062,-434.528700653198,-99.80393103734158,-1694.5243986064918,-100.70119311965588,0.8972620823142989,1259.9956979532938,False,macro_unexpected,101
ROBUST_TEST_000063,-1055.8203050625884,-169.46805508279022,-3526.916109126616,-174.90689379089372,5.4388387081035034,2471.0958040640276,False,macro_unexpected,101
ROBUST_TEST_000000,-537.6018780211818,-149.75527951646015,-3020.421881855916,-154.36157528422018,4.606295767760031,2482.820003834734,False,macro_unexpected,202
ROBUST_TEST_000001,659.6858430468307,-389.0435113310846,1744.1082147339766,-389.0435113310846,0.0,-1084.422371687146,False,macro_unexpected,202
ROBUST_TEST_000002,111.61808595397324,-174.30862380505087,-1734.3691681273988,-180.3475573655809,6.03893356053004,1845.987254081372,False,macro_unexpected,202
ROBUST_TEST_000003,-1248.276228548631,-116.83147813932575,-2803.42334959403,-119.06716900544252,2.2356908661167694,1555.1471210453988,False,macro_unexpected,202
ROBUST_TEST_000004,-863.0412396770728,-77.75899040992736,-1485.7040675289606,-79.84872577446663,2.0897353645392656,622.6628278518879,False,macro_unexpected,202
ROBUST_TEST_000005,-560.0551780159785,-293.6166919251019,-1170.4686334265002,-293.6166919251019,0.0,610.4134554105217,False,macro_unexpected,202
