policy,metric,worlds,mean,median,std,p10,p25,p75,p90,worst,worst_world,information_set
PDThreshold,cumulative_reward,32,-3992.8249006779215,-3904.9795302556086,271.04360037659194,-4372.162855799742,-4257.433301888153,-3760.964823267556,-3692.7183839836275,-4441.204821240324,random_003,OBSERVABLE_ONLY
PPO,net_economic_value,32,-810.511476390055,-777.263679832874,134.5282194254851,-972.2231307431332,-865.4374994540227,-719.4086975414799,-675.3577015903244,-1185.9796975529998,random_021,OBSERVABLE_ONLY
PPO,default_rate,32,0.84716796875,0.828125,0.05276120322644488,0.796875,0.8125,0.875,0.9203125000000001,0.984375,random_021,OBSERVABLE_ONLY
PPO,credit_loss,32,1120.1783311479408,1089.7546505037008,116.18893236174853,1008.4764805875334,1042.4057497873341,1162.8378732173219,1276.9340877789582,1441.3409719185859,random_028,OBSERVABLE_ONLY
PPO,credit_loss_rate,32,0.3953307296736608,0.38459367510475095,0.04100512760633587,0.3559091725340129,0.3678834112575075,0.410386035980604,0.4506526064912393,0.5086747014229329,random_028,OBSERVABLE_ONLY
PPO,high_risk_exposure_share,32,0.374394419840275,0.36726859271006995,0.05895616412036353,0.30706082636271764,0.3278348235959654,0.4020385092842446,0.4676421326615243,0.5191615704878981,random_022,OBSERVABLE_ONLY
PPO,cumulative_reward,32,-2323.2502664499543,-2287.5266812660666,190.12133845357477,-2664.506064596177,-2394.6138569092336,-2206.860118226141,-2113.84380966407,-2743.6065711618066,random_022,OBSERVABLE_ONLY
PPO_without_PD,net_economic_value,32,-810.511476390055,-777.263679832874,134.5282194254851,-972.2231307431332,-865.4374994540227,-719.4086975414799,-675.3577015903244,-1185.9796975529998,random_021,OBSERVABLE_ONLY
PPO_without_PD,default_rate,32,0.84716796875,0.828125,0.05276120322644488,0.796875,0.8125,0.875,0.9203125000000001,0.984375,random_021,OBSERVABLE_ONLY
PPO_without_PD,credit_loss,32,1120.1783311479408,1089.7546505037008,116.18893236174853,1008.4764805875334,1042.4057497873341,1162.8378732173219,1276.9340877789582,1441.3409719185859,random_028,OBSERVABLE_ONLY
