policy,policy_seed,metric,clipping,true_MC_value,MC_standard_error,mean_ESS,min_ESS,max_weight,mean_zero_weight_fraction,unreliable_fraction,replicates,IS_mean,IS_sd,IS_mean_error,IS_RMSE,IS_coverage_MC_point,IS_available_replicates,WIS_mean,WIS_sd,WIS_mean_error,WIS_RMSE,WIS_coverage_MC_point,WIS_available_replicates
PPO,505,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO_without_PD,101,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO_without_PD,101,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO_without_PD,101,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO_without_PD,101,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO_without_PD,202,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO_without_PD,202,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO_without_PD,202,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO_without_PD,202,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO_without_PD,303,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO_without_PD,303,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO_without_PD,303,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO_without_PD,303,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO_without_PD,404,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO_without_PD,404,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO_without_PD,404,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO_without_PD,404,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO_without_PD,505,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO_without_PD,505,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO_without_PD,505,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO_without_PD,505,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
SoftPDThreshold,-1,cumulative_reward,20.0,-4056.44735296908,75.70146221106306,369.93688588734284,330.8060970951628,14.166018610001654,0.0,0.0,5,-3973.860729597105,194.28860395984657,82.58662337197502,192.4032215502572,1.0,5,-4049.6477730454985,210.06030791668044,6.799579923581495,188.00665056528644,0.8,5
SoftPDThreshold,-1,cumulative_reward,none,-4056.44735296908,75.70146221106306,369.93688588734284,330.8060970951628,14.166018610001654,0.0,0.0,5,-3973.860729597105,194.28860395984657,82.58662337197502,192.4032215502572,1.0,5,-4049.6477730454985,210.06030791668044,6.799579923581495,188.00665056528644,0.8,5
SoftPDThreshold,-1,net_economic_value,20.0,-925.0986101443532,44.35827735921656,369.93688588734284,330.8060970951628,14.166018610001654,0.0,0.0,5,-881.0730669741084,54.63151907336321,44.02554317024469,65.77180818896252,1.0,5,-897.8475748451353,56.77555688389791,27.251035299217826,57.63150191050553,1.0,5
SoftPDThreshold,-1,net_economic_value,none,-925.0986101443532,44.35827735921656,369.93688588734284,330.8060970951628,14.166018610001654,0.0,0.0,5,-881.0730669741084,54.63151907336321,44.02554317024469,65.77180818896252,1.0,5,-897.8475748451353,56.77555688389791,27.251035299217826,57.63150191050553,1.0,5
Static,-1,cumulative_reward,20.0,-5165.54790778983,98.55534458077524,5.856094836204565,4.506548020524158,20.0,0.9856666666666667,1.0,5,-472.01913126116824,312.12777739011204,4693.528776528662,4701.824260394834,0.0,5,-3328.407761960345,859.7950064167619,1837.1401458294852,1991.6028413982897,0.4,5
Static,-1,cumulative_reward,none,-5165.54790778983,98.55534458077524,3.7419944694621776,2.0471810507045927,135.52527156068803,0.9856666666666667,1.0,5,-813.5675477853785,757.2439945644534,4351.9803600044515,4404.369174774933,0.0,5,-3200.3389623127123,1360.4103584338338,1965.2089454771176,2311.4106675471025,0.4,5
Static,-1,net_economic_value,20.0,-1306.9756689475205,50.61578745178668,5.856094836204565,4.506548020524158,20.0,0.9856666666666667,1.0,5,-334.7677559740675,216.89000530744602,972.207912973453,991.3734137901865,0.0,5,-2415.2936492244344,592.1871377210107,-1108.3179802769137,1228.37992098164,0.2,5
Static,-1,net_economic_value,none,-1306.9756689475205,50.61578745178668,3.7419944694621776,2.0471810507045927,135.52527156068803,0.9856666666666667,1.0,5,-526.8641925309241,505.0763410561739,780.1114764165965,901.47412823255,0.4,5,-2168.5762528924442,995.9685787782021,-861.6005839449238,1239.3217073000098,0.2,5
UtilizationPD,-1,cumulative_reward,20.0,-3447.501135703059,57.73976641016862,8.243520765103488,7.335074782754376,20.0,0.974,1.0,5,-578.6608918898206,163.6525731917063,2868.8402438132384,2872.572031523703,0.0,5,-3454.814679321929,864.3731928997984,-7.313543618869789,773.1534784266958,1.0,5
UtilizationPD,-1,cumulative_reward,none,-3447.501135703059,57.73976641016862,4.135254193257632,2.984300392788978,135.52527156068803,0.974,1.0,5,-971.5030111192837,443.9322077333981,2475.998124583775,2507.6338163680934,0.2,5,-3168.4949167100094,1191.4520959410002,279.00621899304963,1101.5856515834614,0.8,5
UtilizationPD,-1,net_economic_value,20.0,-745.5220547888831,38.781644498535,8.243520765103488,7.335074782754376,20.0,0.974,1.0,5,-378.71586779112477,101.67610487916026,366.8061869977584,377.91163393385085,0.4,5,-2263.547847260782,537.9524758109195,-1518.0257924718992,1592.4561531153113,0.2,5
UtilizationPD,-1,net_economic_value,none,-745.5220547888831,38.781644498535,4.135254193257632,2.984300392788978,135.52527156068803,0.974,1.0,5,-575.8032933525261,281.0787834999404,169.71876143635697,303.3293325917165,0.8,5,-1886.8678881764758,832.9279026725644,-1141.3458333875928,1362.9693408993587,0.2,5
