policy,policy_seed,replicate,metric,clipping,IS,WIS,ESS,mean_weight,max_weight,weight_p99,nonzero_weights,zero_weight_fraction,IS_lower,IS_upper,IS_valid_bootstraps,WIS_lower,WIS_upper,WIS_valid_bootstraps,unreliable,episodes,true_MC_value,MC_standard_error,MC_lower,MC_upper,customers,IS_error,IS_covers_MC_point,WIS_error,WIS_covers_MC_point
UtilizationPD,-1,0,cumulative_reward,none,-1091.1468425083656,-3678.3751471842525,3.2672809406544623,0.29663827066242116,94.74507492968071,5.173241008411748,14,0.9766666666666667,-2480.4595909874597,-192.8438614001121,400,-4876.221032521348,-2456.8764760959866,400,True,600,-3447.501135703059,57.73976641016862,-3557.295230117779,-3330.6936713099403,2000,2356.354293194693,False,-230.87401148119352,True
UtilizationPD,-1,0,cumulative_reward,20.0,-631.4189677731681,-3669.6932682022175,9.525697749193947,0.17206314577961995,20.0,5.173241008411748,14,0.9766666666666667,-1153.2544732899328,-192.8438614001121,400,-4944.432338481671,-2425.0440609623224,400,True,600,-3447.501135703059,57.73976641016862,-3557.295230117779,-3330.6936713099403,2000,2816.0821679298906,False,-222.19213249915856,True
MyopicEconomic,-1,0,net_economic_value,none,-282.11116290790034,-1654.456415247608,1.9385555852387015,0.17051592312008973,72.33796296296293,2.291666666666649,8,0.9866666666666667,-554.9224917536536,-61.004314141819535,400,-3814.8187914793502,-1103.7272825711707,400,True,600,-1152.8661075623015,55.920632468526364,-1262.9415967618602,-1045.2494641592382,2000,870.7549446544012,False,-501.59030768530647,True
MyopicEconomic,-1,0,net_economic_value,20.0,-199.20586892082633,-2391.8294210391427,4.406289058983011,0.08328598484848485,20.0,2.291666666666649,8,0.9866666666666667,-363.50419729602345,-61.004314141819535,400,-3814.8187914793502,-1420.5828542667252,400,True,600,-1152.8661075623015,55.920632468526364,-1262.9415967618602,-1045.2494641592382,2000,953.6602386414752,False,-1238.9633134768412,False
MyopicEconomic,-1,0,cumulative_reward,none,-401.7138249016439,-2355.8727979833748,1.9385555852387015,0.17051592312008973,72.33796296296293,2.291666666666649,8,0.9866666666666667,-865.5289921944299,-71.34854639429842,400,-4720.3161527572,-1745.171852119512,400,True,600,-5231.670146480793,110.16020414498716,-5455.22133396753,-5007.800572868119,2000,4829.9563215791495,False,2875.797348497418,False
MyopicEconomic,-1,0,cumulative_reward,20.0,-262.3478239901642,-3149.963639950124,4.406289058983011,0.08328598484848485,20.0,2.291666666666649,8,0.9866666666666667,-486.5107939020136,-71.34854639429842,400,-4720.3161527572,-2050.346338945011,400,True,600,-5231.670146480793,110.16020414498716,-5455.22133396753,-5007.800572868119,2000,4969.322322490629,False,2081.706506530669,False
PPO,101,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
PPO,101,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO,101,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO,101,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO,202,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
PPO,202,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO,202,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO,202,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO,303,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
PPO,303,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO,303,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO,303,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO,404,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
PPO,404,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO,404,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO,404,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO,505,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
